order_id,line_no,product_code,product_name,category,ordered_cases,confirmed_cases,unit_price_case,discount_pct,gross_line_value,discount_line_value,line_net_value,plant,storage_location,rejection_reason
SO100011,3,SKU0038,Bitter Lemon 50cl PET x24,Carbonated Soft Drink,240,240,3840,15,921600,138240.0,783360.0,ENU01,FG03,
SO100011,4,SKU0031,Orange Burst 1L PET x12,Carbonated Soft Drink,259,259,3070,5,795130,39756.5,755373.5,ABA01,FG02,
SO100011,5,SKU0040,Bitter Lemon 50cl Can x24,Carbonated Soft Drink,48,48,3700,5,177600,8880.0,168720.0,ENU01,FG02,
SO100011,6,SKU0040,Bitter Lemon 50cl Can x24,Carbonated Soft Drink,30,30,3700,15,111000,16650.0,94350.0,ENU01,FG02,
SO100012,1,SKU0026,Orange Burst 35cl PET x24,Carbonated Soft Drink,19,19,3150,3,59850,1795.5,58054.5,IBD01,FG02,
SO100012,2,SKU0020,Lemon Lime 1L PET x24,Carbonated Soft Drink,1,1,5940,0,5940,0.0,5940.0,IBD01,FG01,
SO100013,1,SKU0007,Cola Max 1L PET x12,Carbonated Soft Drink,28,28,3140,3,87920,2637.6,85282.4,ABA01,FG02,
SO100014,1,SKU0020,Lemon Lime 1L PET x24,Carbonated Soft Drink,3,3,5940,0,17820,0.0,17820.0,KAN01,FG01,
SO100014,2,SKU0029,Orange Burst 60cl PET x12,Carbonated Soft Drink,11,11,2400,2,26400,528.0,25872.0,KAD01,FG01,
SO100014,3,SKU0006,Cola Max 60cl PET x24,Carbonated Soft Drink,4,4,4380,10,17520,1752.0,15768.0,KAN01,FG01,
SO100015,1,SKU0009,Cola Max 1.5L PET x12,Carbonated Soft Drink,0,3,4080,2,12240,244.8,11995.2,IBD01,FG02,
SO100015,2,SKU0048,Aqua Pure 75cl PET x24,Water,6,6,2180,3,13080,392.4,12687.6,IBD01,FG01,
SO100016,1,SKU0017,Lemon Lime 60cl PET x12,Carbonated Soft Drink,72,72,2300,12,165600,19872.0,145728.0,KAN01,FG01,
SO100017,1,SKU0003,Cola Max 50cl PET x12,Carbonated Soft Drink,9,9,1970,7,17730,1241.1,16488.9,PHC01,DAMAGED,
SO100018,1,SKU0016,Lemon Lime 50cl PET x24,Carbonated Soft Drink,6,6,3680,5,22080,1104.0,20976.0,ABA01,FG01,
SO100018,2,SKU0027,Orange Burst 50cl PET x12,Carbonated Soft Drink,3,3,1970,2,5910,118.2,5791.8,ENU01,FG01,
SO100019,1,SKU0045,Aqua Pure 50cl PET x12,Water,7,7,960,12,6720,806.4,5913.6,LAG02,FG03,
SO100019,2,SKU0035,Bitter Lemon 35cl PET x12,Carbonated Soft Drink,10,10,1730,0,17300,0.0,17300.0,LAG02,FG02,
SO100019,3,SKU0027,Orange Burst 50cl PET x12,Carbonated Soft Drink,7,7,1970,0,13790,0.0,13790.0,LAG02,FG02,
SO100019,4,SKU0011,Cola Max 50cl Can x12,Carbonated Soft Drink,1,1,1900,12,1900,228.0,1672.0,LAG01,FG02,
SO100020,1,SKU0001,Cola Max 35cl PET x12,Carbonated Soft Drink,4,1,1780,5,7120,356.0,6764.0,KAD01,FG01,
SO100020,2,SKU0012,Cola Max 50cl Can x24,Carbonated Soft Drink,5,3,3760,0,18800,0.0,18800.0,KAN01,FG02,
SO100020,3,SKU0051,Energy Rush 33cl Can x12,Energy Drink,15,15,2880,2,43200,864.0,42336.0,KAN01,FG01,
SO100020,4,SKU0023,Lemon Lime 50cl Can x12,Carbonated Soft Drink,6,3,1900,7,11400,798.0,10602.0,KAN01,FG03,
SO100021,1,SKU0059,Malt Spark 33cl Can x12,Malt Drink,8,8,2590,7,20720,1450.4,19269.6,PHC01,FG01,
SO100021,2,SKU0005,Cola Max 60cl PET x12,Carbonated Soft Drink,7,7,2240,0,15680,0.0,15680.0,PHC01,FG02,
SO100021,3,SKU0033,Orange Burst 1.5L PET x12,Carbonated Soft Drink,0,10,3810,7,38100,2667.0,35433.0,PHC01,FG02,
SO100021,4,SKU0055,Ice Tea 50cl PET x12,Tea Drink,11,11,2850,12,31350,3762.0,27588.0,BEN01,FG01,
SO100022,1,SKU0053,Energy Rush 40cl PET x12,Energy Drink,2,2,3160,0,6320,0.0,6320.0,BEN01,FG03,
SO100022,2,SKU0030,Orange Burst 60cl PET x24,Carbonated Soft Drink,4,4,4110,2,16440,328.8,16111.2,PHC01,FG02,
SO100023,1,SKU0002,Cola Max 35cl PET x24,Carbonated Soft Drink,19,19,3240,3,61560,1846.8,59713.2,ENU01,FG01,
SO100023,2,SKU0009,Cola Max 1.5L PET x12,Carbonated Soft Drink,6,6,4080,12,24480,2937.6,21542.4,ABA01,FG02,
SO100023,3,SKU0059,Malt Spark 33cl Can x12,Malt Drink,2,2,2590,3,5180,155.4,5024.6,ABA01,FG03,
SO100023,4,SKU0034,Orange Burst 1.5L PET x24,Carbonated Soft Drink,9,5,7150,3,64350,1930.5,62419.5,ABA01,FG02,
SO100023,5,SKU0029,Orange Burst 60cl PET x12,Carbonated Soft Drink,34,34,2400,0,81600,0.0,81600.0,ENU01,FG01,
SO100023,6,SKU0030,Orange Burst 60cl PET x24,Carbonated Soft Drink,10,10,4110,7,41100,2877.0,38223.0,ABA01,FG02,
SO100024,1,SKU0048,Aqua Pure 75cl PET x24,Water,3,3,2180,2,6540,130.8,6409.2,LAG02,FG02,
SO100025,1,SKU0007,Cola Max 1L PET x12,Carbonated Soft Drink,22,22,3140,5,69080,3454.0,65626.0,KAD01,FG02,
SO100025,2,SKU0007,Cola Max 1L PET x12,Carbonated Soft Drink,3,2,3140,7,9420,659.4,8760.6,KAN01,FG02,
SO100025,3,SKU0029,Orange Burst 60cl PET x12,Carbonated Soft Drink,4,4,2400,0,9600,0.0,9600.0,KAN01,FG03,
SO100026,1,SKU0046,Aqua Pure 50cl PET x24,Water,13,13,1730,0,22490,0.0,22490.0,ABA01,FG02,
SO100027,1,SKU0010,Cola Max 1.5L PET x24,Carbonated Soft Drink,2,1,7500,2,15000,300.0,14700.0,ENU01,FG01,
SO100028,1,SKU0016,Lemon Lime 50cl PET x24,Carbonated Soft Drink,60,60,3680,12,220800,26496.0,194304.0,ENU01,FG02,
SO100028,2,SKU0021,Lemon Lime 1.5L PET x12,Carbonated Soft Drink,132,132,3930,12,518760,62251.2,456508.8,ENU01,FG02,
SO100029,1,SKU0033,Orange Burst 1.5L PET x12,Carbonated Soft Drink,3,1,3810,10,11430,1143.0,10287.0,LAG01,FG01,
SO100029,2,SKU0040,Bitter Lemon 50cl Can x24,Carbonated Soft Drink,11,11,3700,7,40700,2849.0,37851.0,LAG02,FG01,
SO100029,3,SKU0038,Bitter Lemon 50cl PET x24,Carbonated Soft Drink,52,52,3840,10,199680,19968.0,179712.0,LAG02,FG03,
SO100029,4,SKU0004,Cola Max 50cl PET x24,Carbonated Soft Drink,33,33,3650,2,120450,2409.0,118041.0,LAG02,FG01,
SO100029,5,SKU0013,Lemon Lime 35cl PET x12,Carbonated Soft Drink,1,1,1700,3,1700,51.0,1649.0,LAG02,FG02,
SO100029,6,SKU0040,Bitter Lemon 50cl Can x24,Carbonated Soft Drink,2,2,3700,10,7400,740.0,6660.0,LAG02,FG01,
SO100030,1,SKU0039,Bitter Lemon 50cl Can x12,Carbonated Soft Drink,5,5,1910,0,9550,0.0,9550.0,ABJ01,FG02,
SO100031,1,SKU0012,Cola Max 50cl Can x24,Carbonated Soft Drink,12,12,3760,3,45120,1353.6,43766.4,ENU01,FG01,
SO100031,2,SKU0038,Bitter Lemon 50cl PET x24,Carbonated Soft Drink,10,10,3840,5,38400,1920.0,36480.0,ENU01,FG02,
SO100032,1,SKU0035,Bitter Lemon 35cl PET x12,Carbonated Soft Drink,8,8,1730,12,13840,1660.8,12179.2,BEN01,FG03,
SO100032,2,SKU0014,Lemon Lime 35cl PET x24,Carbonated Soft Drink,7,7,3280,5,22960,1148.0,21812.0,BEN01,RM01,
SO100032,3,SKU0021,Lemon Lime 1.5L PET x12,Carbonated Soft Drink,6,6,3930,2,23580,471.6,23108.4,BEN01,FG01,
SO100032,4,SKU0015,Lemon Lime 50cl PET x12,Carbonated Soft Drink,10,10,2080,3,20800,624.0,20176.0,PHC01,FG01,
SO100032,5,SKU0023,Lemon Lime 50cl Can x12,Carbonated Soft Drink,3,3,1900,12,5700,684.0,5016.0,BEN01,FG02,
SO100033,1,SKU0027,Orange Burst 50cl PET x12,Carbonated Soft Drink,7,5,1970,3,13790,413.7,13376.3,BEN01,FG02,
SO100033,2,SKU0023,Lemon Lime 50cl Can x12,Carbonated Soft Drink,14,10,1900,12,26600,3192.0,23408.0,BEN01,FG03,
SO100033,3,SKU0016,Lemon Lime 50cl PET x24,Carbonated Soft Drink,23,23,3680,10,84640,8464.0,76176.0,PHC01,FG01,
SO100034,1,SKU0016,Lemon Lime 50cl PET x24,Carbonated Soft Drink,3,3,3680,0,11040,0.0,11040.0,ABJ01,FG02,
SO100034,2,SKU0032,Orange Burst 1L PET x24,Carbonated Soft Drink,7,7,5570,5,38990,1949.5,37040.5,ABJ01,FG02,
SO100034,3,SKU0026,Orange Burst 35cl PET x24,Carbonated Soft Drink,4,2,3150,10,12600,1260.0,11340.0,ABJ01,FG02,
SO100034,4,SKU0019,Lemon Lime 1L PET x12,Carbonated Soft Drink,5,5,3080,5,15400,770.0,14630.0,ABJ01,FG03,
SO100034,5,SKU0016,Lemon Lime 50cl PET x24,Carbonated Soft Drink,4,4,3680,0,14720,0.0,14720.0,ABJ01,FG03,
SO100034,6,SKU0036,Bitter Lemon 35cl PET x24,Carbonated Soft Drink,7,7,3220,3,22540,676.2,21863.8,ABJ01,FG03,
SO100035,1,SKU0013,Lemon Lime 35cl PET x12,Carbonated Soft Drink,12,12,1700,3,20400,612.0,19788.0,PHC01,FG02,
SO100035,2,SKU0001,Cola Max 35cl PET x12,Carbonated Soft Drink,0,64,1780,12,113920,13670.4,100249.6,PHC01,FG02,
SO100036,1,SKU0040,Bitter Lemon 50cl Can x24,Carbonated Soft Drink,5,3,3700,10,18500,1850.0,16650.0,BEN01,FG02,
SO100036,2,SKU0001,Cola Max 35cl PET x12,Carbonated Soft Drink,3,3,1780,7,5340,373.8,4966.2,BEN01,FG03,
SO100037,1,SKU0020,Lemon Lime 1L PET x24,Carbonated Soft Drink,5,5,5940,150,29700,44550.0,-44550.0,KAN01,FG02,
SO100037,2,SKU0035,Bitter Lemon 35cl PET x12,Carbonated Soft Drink,13,13,1730,0,22490,0.0,22490.0,KAD01,FG03,
SO100037,3,SKU0017,Lemon Lime 60cl PET x12,Carbonated Soft Drink,7,7,2300,7,16100,1127.0,14973.0,KAD01,FG03,
SO100037,4,SKU0027,Orange Burst 50cl PET x12,Carbonated Soft Drink,2,2,1970,0,3940,0.0,3940.0,KAD01,FG01,
SO100037,5,SKU0034,Orange Burst 1.5L PET x24,Carbonated Soft Drink,4,4,7150,0,28600,0.0,28600.0,KAN01,FG02,
SO100037,6,SKU0036,Bitter Lemon 35cl PET x24,Carbonated Soft Drink,8,6,3220,3,25760,772.8,24987.2,KAD01,FG03,
SO100038,1,SKU0003,Cola Max 50cl PET x12,Carbonated Soft Drink,10,10,1970,12,19700,2364.0,17336.0,BEN01,FG03,
SO100038,2,SKU0028,Orange Burst 50cl PET x24,Carbonated Soft Drink,5,5,3650,0,18250,0.0,18250.0,BEN01,FG01,
SO100039,1,SKU0040,Bitter Lemon 50cl Can x24,Carbonated Soft Drink,4,4,3700,0,14800,0.0,14800.0,ENU01,FG03,
SO100039,2,SKU0037,Bitter Lemon 50cl PET x12,Carbonated Soft Drink,8,8,1950,2,15600,312.0,15288.0,ENU01,FG03,
SO100039,3,SKU0005,Cola Max 60cl PET x12,Carbonated Soft Drink,15,15,2240,7,33600,2352.0,31248.0,ABA01,FG03,
SO100040,1,SKU0017,Lemon Lime 60cl PET x12,Carbonated Soft Drink,3,1,2300,0,6900,0.0,6900.0,BEN01,FG03,
SO100040,2,SKU0002,Cola Max 35cl PET x24,Carbonated Soft Drink,13,13,3240,12,42120,5054.4,37065.6,PHC01,FG01,
SO100041,1,SKU0036,Bitter Lemon 35cl PET x24,Carbonated Soft Drink,132,132,3220,15,425040,63756.0,361284.0,BEN01,FG01,
SO100041,2,SKU0039,Bitter Lemon 50cl Can x12,Carbonated Soft Drink,108,108,1910,12,206280,24753.6,181526.4,BEN01,FG01,
SO100042,1,SKU0024,Lemon Lime 50cl Can x24,Carbonated Soft Drink,10,10,3630,0,36300,0.0,36300.0,BEN01,FG03,
SO100042,2,SKU0022,Lemon Lime 1.5L PET x24,Carbonated Soft Drink,2,2,7550,3,15100,453.0,14647.0,PHC01,FG01,
SO100042,3,SKU0049,Aqua Pure 1.5L PET x12,Water,21,21,2000,3,42000,1260.0,40740.0,PHC01,FG02,
SO100043,1,SKU0023,Lemon Lime 50cl Can x12,Carbonated Soft Drink,10,10,1900,3,19000,570.0,18430.0,KAN01,FG02,
SO100043,2,SKU0035,Bitter Lemon 35cl PET x12,Carbonated Soft Drink,3,3,1730,10,5190,519.0,4671.0,KAD01,FG01,
SO100043,3,SKU0050,Aqua Pure 1.5L PET x24,Water,5,5,3790,2,18950,379.0,18571.0,KAN01,FG02,
SO100043,4,SKU0029,Orange Burst 60cl PET x12,Carbonated Soft Drink,16,16,2400,7,38400,2688.0,35712.0,KAN01,FG01,
SO100043,5,SKU0020,Lemon Lime 1L PET x24,Carbonated Soft Drink,1,0,5940,7,5940,415.8,5524.2,KAN01,FG01,Credit block
SO100044,1,SKU0035,Bitter Lemon 35cl PET x12,Carbonated Soft Drink,9,9,1730,3,15570,467.1,15102.9,ABA01,FG02,
SO100044,2,SKU0005,Cola Max 60cl PET x12,Carbonated Soft Drink,4,4,2240,3,8960,268.8,8691.2,ENU01,FG02,
SO100045,1,SKU0023,Lemon Lime 50cl Can x12,Carbonated Soft Drink,4,4,1900,10,7600,760.0,6840.0,KAN01,FG03,
SO100045,2,SKU0021,Lemon Lime 1.5L PET x12,Carbonated Soft Drink,96,96,3930,15,377280,56592.0,320688.0,KAD01,FG01,
SO100045,3,SKU0040,Bitter Lemon 50cl Can x24,Carbonated Soft Drink,14,12,3700,12,51800,6216.0,45584.0,KAN01,FG02,
SO100046,1,SKU0016,Lemon Lime 50cl PET x24,Carbonated Soft Drink,7,3,3680,12,25760,3091.2,22668.8,ABA01,FG01,
SO100047,1,SKU0027,Orange Burst 50cl PET x12,Carbonated Soft Drink,9,9,1970,7,17730,1241.1,16488.9,ABA01,FG02,
SO100047,2,SKU0027,Orange Burst 50cl PET x12,Carbonated Soft Drink,12,12,1970,2,23640,472.8,23167.2,ENU01,FG03,
SO100048,1,SKU0049,Aqua Pure 1.5L PET x12,Water,5,5,2000,10,10000,1000.0,9000.0,ABJ01,FG01,
SO100048,2,SKU0007,Cola Max 1L PET x12,Carbonated Soft Drink,2,2,3140,12,6280,753.6,5526.4,ABJ01,FG01,
SO100048,3,SKU0014,Lemon Lime 35cl PET x24,Carbonated Soft Drink,25,25,3280,0,82000,0.0,82000.0,ABJ01,FG01,
SO100049,1,SKU0018,Lemon Lime 60cl PET x24,Carbonated Soft Drink,11,11,4090,3,44990,1349.7,43640.3,ABJ01,FG02,
SO100050,1,SKU0028,Orange Burst 50cl PET x24,Carbonated Soft Drink,26,26,3650,12,94900,11388.0,83512.0,BEN01,FG02,
SO100050,2,SKU0017,Lemon Lime 60cl PET x12,Carbonated Soft Drink,3,3,2300,0,6900,0.0,6900.0,BEN01,FG02,
SO100050,3,SKU0021,Lemon Lime 1.5L PET x12,Carbonated Soft Drink,9,9,3930,7,35370,2475.9,32894.1,BEN01,FG02,
SO100050,4,SKU0022,Lemon Lime 1.5L PET x24,Carbonated Soft Drink,36,36,7550,10,271800,27180.0,244620.0,BEN01,FG02,
SO100051,1,SKU0045,Aqua Pure 50cl PET x12,Water,7,7,960,5,6720,336.0,6384.0,ABA01,FG03,
SO100051,2,SKU0034,Orange Burst 1.5L PET x24,Carbonated Soft Drink,8,8,7150,3,57200,1716.0,55484.0,ABA01,FG03,
SO100052,1,SKU0017,Lemon Lime 60cl PET x12,Carbonated Soft Drink,2,2,2300,2,4600,92.0,4508.0,ABA01,FG01,
SO100052,2,SKU0011,Cola Max 50cl Can x12,Carbonated Soft Drink,5,5,1900,0,9500,0.0,9500.0,ENU01,FG03,
SO100053,1,SKU0021,Lemon Lime 1.5L PET x12,Carbonated Soft Drink,4,4,3930,7,15720,1100.4,14619.6,ENU01,FG01,
SO100053,2,SKU0010,Cola Max 1.5L PET x24,Carbonated Soft Drink,13,13,7500,3,97500,2925.0,94575.0,ENU01,FG03,
SO100053,3,SKU0031,Orange Burst 1L PET x12,Carbonated Soft Drink,9,9,3070,7,27630,1934.1,25695.9,ABA01,FG01,
SO100053,4,SKU0040,Bitter Lemon 50cl Can x24,Carbonated Soft Drink,2,2,3700,5,7400,370.0,7030.0,ENU01,FG01,
SO100054,1,SKU0049,Aqua Pure 1.5L PET x12,Water,6,6,2000,3,12000,360.0,11640.0,LAG01,FG03,
SO100055,1,SKU0034,Orange Burst 1.5L PET x24,Carbonated Soft Drink,29,29,7150,0,207350,0.0,207350.0,IBD01,FG02,
SO100055,2,SKU0032,Orange Burst 1L PET x24,Carbonated Soft Drink,7,7,5570,0,38990,0.0,38990.0,IBD01,FG01,
SO100055,3,SKU0004,Cola Max 50cl PET x24,Carbonated Soft Drink,5,5,3650,0,18250,0.0,18250.0,IBD01,FG01,
SO100056,1,SKU0045,Aqua Pure 50cl PET x12,Water,5,5,960,12,4800,576.0,4224.0,LAG01,FG01,
SO100057,1,SKU0027,Orange Burst 50cl PET x12,Carbonated Soft Drink,40,40,1970,0,78800,0.0,78800.0,ABJ01,FG01,
SO100058,1,SKU0047,Aqua Pure 75cl PET x12,Water,9,9,1150,12,10350,1242.0,9108.0,ABA01,FG03,
SO100058,2,SKU0001,Cola Max 35cl PET x12,Carbonated Soft Drink,4,4,1780,5,7120,356.0,6764.0,ABA01,FG03,
SO100058,3,SKU0030,Orange Burst 60cl PET x24,Carbonated Soft Drink,7,7,4110,0,28770,0.0,28770.0,ABA01,FG01,
SO100058,4,SKU0014,Lemon Lime 35cl PET x24,Carbonated Soft Drink,10,5,3280,0,32800,0.0,32800.0,ABA01,FG01,
SO100059,1,SKU0059,Malt Spark 33cl Can x12,Malt Drink,7,4,2590,2,18130,362.6,17767.4,ENU01,FG03,
SO100059,2,SKU0020,Lemon Lime 1L PET x24,Carbonated Soft Drink,2,2,5940,12,11880,1425.6,10454.4,ABA01,FG01,
SO100059,3,SKU0026,Orange Burst 35cl PET x24,Carbonated Soft Drink,8,8,3150,0,25200,0.0,25200.0,ABA01,FG01,
SO100059,4,SKU0003,Cola Max 50cl PET x12,Carbonated Soft Drink,3,3,1970,5,5910,295.5,5614.5,ENU01,FG02,
SO100059,5,SKU0013,Lemon Lime 35cl PET x12,Carbonated Soft Drink,38,32,1700,3,64600,1938.0,62662.0,ENU01,FG03,
SO100059,6,SKU0058,Ice Tea 33cl Can x24,Tea Drink,9,9,4290,0,38610,0.0,38610.0,ENU01,FG01,
SO100060,1,SKU0038,Bitter Lemon 50cl PET x24,Carbonated Soft Drink,7,7,3840,0,26880,0.0,26880.0,ABA01,FG02,
SO100060,2,SKU0014,Lemon Lime 35cl PET x24,Carbonated Soft Drink,3,3,3280,0,9840,0.0,9840.0,ENU01,FG03,
SO100060,3,SKU0046,Aqua Pure 50cl PET x24,Water,15,15,1730,5,25950,1297.5,24652.5,ABA01,FG02,
SO100061,1,SKU0025,Orange Burst 35cl PET x12,Carbonated Soft Drink,6,6,1750,3,10500,315.0,10185.0,ABA01,FG01,
SO100061,2,SKU0038,Bitter Lemon 50cl PET x24,Carbonated Soft Drink,3,3,3840,0,11520,0.0,11520.0,ABA01,FG03,
SO100061,3,SKU0020,Lemon Lime 1L PET x24,Carbonated Soft Drink,7,7,5940,0,41580,0.0,41580.0,ABA01,FG02,
SO100061,4,SKU0018,Lemon Lime 60cl PET x24,Carbonated Soft Drink,18,18,4090,2,73620,1472.4,72147.6,ENU01,FG01,
SO100061,5,SKU0035,Bitter Lemon 35cl PET x12,Carbonated Soft Drink,4,4,1730,0,6920,0.0,6920.0,ABA01,FG02,
SO100062,1,SKU0036,Bitter Lemon 35cl PET x24,Carbonated Soft Drink,25,25,3220,0,80500,0.0,80500.0,KAN01,FG02,
SO100062,2,SKU0011,Cola Max 50cl Can x12,Carbonated Soft Drink,6,4,1900,7,11400,798.0,10602.0,KAD01,FG03,
SO100063,1,SKU0029,Orange Burst 60cl PET x12,Carbonated Soft Drink,129,129,2400,2,309600,6192.0,303408.0,KAN01,FG02,
SO100063,2,SKU0047,Aqua Pure 75cl PET x12,Water,2,2,1150,2,2300,46.0,2254.0,KAN01,FG01,
SO100063,3,SKU0018,Lemon Lime 60cl PET x24,Carbonated Soft Drink,8,8,4090,7,32720,2290.4,30429.6,KAN01,FG02,
SO100064,1,SKU0059,Malt Spark 33cl Can x12,Malt Drink,8,8,2590,7,20720,1450.4,19269.6,ABJ01,FG02,
SO100064,2,SKU0007,Cola Max 1L PET x12,Carbonated Soft Drink,12,12,3140,0,37680,0.0,37680.0,ABJ01,FG02,
SO100064,3,SKU0012,Cola Max 50cl Can x24,Carbonated Soft Drink,25,10,3760,0,94000,0.0,94000.0,ABJ01,FG03,
SO100064,4,SKU0056,Ice Tea 50cl PET x24,Tea Drink,30,21,4740,10,142200,14220.0,127980.0,ABJ01,FG01,
SO100065,1,SKU0007,Cola Max 1L PET x12,Carbonated Soft Drink,42,42,3140,15,131880,19782.0,112098.0,KAN01,FG03,
SO100065,2,SKU0015,Lemon Lime 50cl PET x12,Carbonated Soft Drink,36,36,2080,15,74880,11232.0,63648.0,KAN01,FG02,
SO100066,1,SKU0037,Bitter Lemon 50cl PET x12,Carbonated Soft Drink,2,2,1950,7,3900,273.0,3627.0,KAD01,FG02,
SO100067,1,SKU0036,Bitter Lemon 35cl PET x24,Carbonated Soft Drink,32,32,3220,7,103040,7212.8,95827.2,ABA01,FG03,
SO100067,2,SKU0030,Orange Burst 60cl PET x24,Carbonated Soft Drink,27,16,4110,15,110970,16645.5,94324.5,ABA01,FG03,
SO100068,1,SKU0013,Lemon Lime 35cl PET x12,Carbonated Soft Drink,1,1,1700,0,1700,0.0,1700.0,ENU01,FG01,
SO100068,2,SKU0045,Aqua Pure 50cl PET x12,Water,20,17,960,10,19200,1920.0,17280.0,ABA01,FG01,
SO100068,3,SKU0045,Aqua Pure 50cl PET x12,Water,10,10,960,12,9600,1152.0,8448.0,ENU01,FG02,
SO100068,4,SKU0004,Cola Max 50cl PET x24,Carbonated Soft Drink,2,2,3650,0,7300,0.0,7300.0,ABA01,FG03,
