order_id,order_date,customer_id,sap_customer_code,crm_reference,sales_org,distribution_channel,division,region,territory,sales_rep_id,order_type,order_status,payment_terms,requested_delivery_date,currency,gross_value,discount_value,net_order_value,source_system,created_by
SO100019,2026-04-30,CUST00297,BP500297,,SBC_NG,MT,BEV,Lagos Region,Ikeja Route 1,SR0001,ZOR Standard Order,Completed,Cash,2026-05-04,NGN,39710,1034.4,38675.6,SAP,sales_admin2
SO100020,2026-01-01,CUSTX77763,,CRMORD-603622,SBC_NG,HORECA,BEV,North West Region,Unmapped Territory,SR0047,ZOR Standard Order,Completed,7 Days,2026-01-06,NGN,80520,2018.0,82112.19,SAP,sales_admin1
SO100021,2026-05-01,CUST00068,BP500068,CRMORD-760471,SBC_NG,KA,BEV,South South Region,Bonny Route 1,SR0021,ZOR Standard Order,Completed,Cash,2026-05-05,NGN,105850,7879.4,97970.6,SAP,sap_batch
SO100022,2026-02-23,CUST00183,BP500183,CRMORD-489804,SBC_NG,KA,BEV,South South Region,GRA Benin Route 2,SR0084,ZOR Standard Order,Completed,14 Days,2026-02-27,NGN,22760,328.8,22431.2,SAP,regional_user
SO100023,2026-05-09,CUST00480,BP500480,CRMORD-734513,SBC_NG,DIST,BEV,South East Region,Awka Route 2,SR0090,ZOR Standard Order,Open,Cash,2026-05-09,NGN,278270,9747.3,268522.7,SAP,regional_user
SO100024,2026-01-04,CUST00591,BP500591,CRMORD-952444,SBC_NG,DIST,BEV,Lagos Region,Yaba Route 1,SR0030,ZOR Standard Order,Completed,30 Days,2026-01-05,NGN,6540,130.8,6409.2,SAP,regional_user
SO100025,2026-01-03,CUST00090,BP500090,CRMORD-272919,SBC_NG,MT,BEV,North West Region,Barnawa Route 1,SR0073,ZOR Standard Order,Completed,Cash,2026-01-04,NGN,88100,4113.4,83986.6,SAP,sap_batch
SO100026,2026-05-23,CUST00338,BP500338,CRMORD-759816,SBC_NG,KA,BEV,South East Region,New Haven Route 1,SR0049,ZOR Standard Order,Completed,Cash,2026-05-23,NGN,22490,0.0,22490.0,SAP,sales_admin2
SO100027,2026-04-18,CUST00390,BP500390,CRMORD-261756,SBC_NG,DIST,BEV,South East Region,Bodija Route 1,SR0039,ZOR Standard Order,Completed,14 Days,2026-04-19,NGN,15000,300.0,14700.0,SAP,crm_sync
SO100028,2026-01-14,CUST00509,BP500509,CRMORD-416902,SBC_NG,MT,BEV,South East Region,Awka Route 2,SR0090,ZOR Standard Order,Completed,Cash,2026-01-17,NGN,739560,88747.2,650812.8,SAP,sap_batch
SO100029,2026-05-24,CUST00331,BP500331,CRMORD-909497,SBC_NG,MT,BEV,Lagos Region,Ikeja Route 1,SR0001,ZOR Standard Order,Partially Delivered,Cash,2026-05-29,NGN,381360,27160.0,354200.0,SAP,sales_admin1
SO100030,2026-03-24,CUST00399,BP500399,CRMORD-331879,SBC_NG,GT,BEV,North Central Region,Wuse Route 2,SR0026,ZOR Standard Order,Completed,Cash,2026-03-28,NGN,9550,0.0,9550.0,SAP,sap_batch
SO100031,2026-04-12,CUST00519,BP500519,CRMORD-103616,SBC_NG,KA,BEV,South East Region,Onitsha Route 2,SR0088,ZCR Credit Order,Completed,Cash,2026-04-16,NGN,83520,3273.6,80246.4,SAP,sales_admin1
SO100032,2026-03-04,CUSTX77040,,CRMORD-932422,SBC_NG,HORECA,BEV,South South Region,Unmapped Territory,SR0002,ZOR Standard Order,Completed,Cash,2026-03-08,NGN,86880,4588.4,82291.6,CRM API,crm_sync
SO100033,2026-05-10,CUST00350,BP500350,CRMORD-235022,SBC_NG,DIST,BEV,South South Region,Bonny Route 1,SR0021,ZOR Standard Order,Completed,Cash,2026-05-15,NGN,125030,12069.7,112960.3,SAP,sales_admin1
SO100034,2026-02-03,CUST00145,BP500145,CRMORD-817628,SBC_NG,DIST,BEV,North Central Region,Garki Route 1,SR0027,ZOR Standard Order,Completed,Cash,2026-02-03,NGN,115290,4655.7,110634.3,SAP,regional_user
SO100035,2026-05-05,CUST00068,BP500068,CRMORD-214835,SBC_NG,HORECA,BEV,South South Region,Bonny Route 1,SR0021,ZOR Standard Order,Completed,Cash,2026-05-10,NGN,134320,14282.4,120037.6,CRM API,sales_admin1
SO100036,2026-01-12,CUST00151,BP500151,CRMORD-246708,SBC_NG,KA,BEV,South South Region,Rumuokuta Route 2,SR0016,ZCR Credit Order,Completed,Cash,2026-01-14,NGN,23840,2223.8,21616.2,SAP,sales_admin2
SO100037,2026-05-14,CUSTX78552,,CRMORD-778117,SBC_NG,MT,BEV,North West Region,Unmapped Territory,SR0017,ZOR Standard Order,Completed,14 Days,2026-05-18,NGN,126590,46449.8,50440.2,SAP,sales_admin1
SO100038,2026-02-21,CUST00456,BP500456,,SBC_NG,MT,BEV,South South Region,Bonny Route 1,SR0021,ZFO Free-of-charge,Open,14 Days,2026-02-22,NGN,37950,2364.0,35586.0,SAP,crm_sync
SO100039,2026-01-08,CUST00118,BP500118,CRMORD-778471,SBC_NG,KA,BEV,South East Region,Awka Route 1,SR0089,ZOR Standard Order,Completed,14 Days,2026-01-11,NGN,64000,2664.0,61336.0,SAP,regional_user
SO100040,2026-04-01,CUST00231,BP500231,CRMORD-279105,SBC_NG,GT,BEV,South South Region,Bonny Route 2,SR0022,ZOR Standard Order,Completed,Cash,2026-04-06,NGN,49020,5054.4,43965.6,SAP,sales_admin1
SO100041,2026-02-09,CUST00053,BP500053,CRMORD-661778,SBC_NG,GT,BEV,South South Region,Bonny Route 2,SR0022,ZFO Free-of-charge,Completed,Cash,2026-02-11,NGN,631320,88509.6,542810.4,SAP,crm_sync
SO100042,2026-02-25,CUST00306,BP500306,CRMORD-318431,SBC_NG,HORECA,BEV,South South Region,Ugbowo Route 1,SR0081,ZOR Standard Order,Completed,Cash,2026-02-26,NGN,93400,1713.0,91687.0,SAP,sap_batch
SO100043,2026-03-07,CUST00299,BP500299,CRMORD-671232,SBC_NG,GT,BEV,North West Region,Kawo Route 1,SR0075,ZOR Standard Order,Completed,Cash,2026-03-11,NGN,87480,4571.8,82908.2,SAP,sales_admin2
SO100044,2026-01-11,CUST00226,BP500226,CRMORD-331428,SBC_NG,DIST,BEV,South East Region,Awka Route 2,SR0090,ZCR Credit Order,Completed,Cash,2026-01-12,NGN,24530,735.9,23794.1,SAP,crm_sync
SO100045,2026-01-18,CUST00502,BP500502,CRMORD-473308,SBC_NG,MT,BEV,North West Region,Kaduna Route 1,SR0071,ZOR Standard Order,Completed,Cash,2026-01-21,NGN,436680,63568.0,373112.0,SAP,regional_user
SO100046,2026-05-31,CUST00096,BP500096,CRMORD-821633,SBC_NG,HORECA,BEV,South East Region,New Haven Route 2,SR0050,ZOR Standard Order,Completed,7 Days,2026-06-05,NGN,25760,3091.2,22668.8,SAP,sap_batch
SO100047,2026-01-22,CUST00250,BP500250,CRMORD-761973,SBC_NG,GT,BEV,South East Region,New Haven Route 2,SR0050,ZOR Standard Order,Completed,14 Days,2026-01-25,NGN,41370,1713.9,39656.1,SAP,sap_batch
SO100048,2026-02-19,CUST00201,BP500201,CRMORD-824967,SBC_NG,GT,BEV,North Central Region,Kawo Route 2,SR0076,ZOR Standard Order,Completed,Cash,2026-02-19,NGN,98280,1753.6,96526.4,SAP,sales_admin2
SO100049,2026-01-30,CUST_DUP029,BP-DUP-029,CRMORD-338891,SBC_NG,HORECA,BEV,North Central Region,Kubwa Route 2,SR0032,ZOR Standard Order,Completed,Cash,2026-02-01,NGN,44990,1349.7,43640.3,SAP,sales_admin1
SO100050,2026-03-18,CUST00191,BP500191,CRMORD-380622,SBC_NG,GT,BEV,South South Region,Trans-Amadi Route 2,SR0018,ZOR Standard Order,Completed,7 Days,2026-03-23,NGN,408970,41043.9,367926.1,SAP,sales_admin1
SO100051,2026-04-15,CUST00214,BP500214,CRMORD-884269,SBC_NG,MT,BEV,South East Region,Osisioma Rte 2,SR0062,ZOR Standard Order,Open,Cash,2026-04-16,NGN,63920,2052.0,61868.0,SAP,sales_admin1
SO100052,2026-05-18,CUST00423,BP500423,CRMORD-888582,SBC_NG,GT,BEV,South East Region,Onitsha Route 2,SR0088,ZOR Standard Order,Completed,Cash,2026-05-19,NGN,14100,92.0,14008.0,SAP,regional_user
SO100053,2026-03-12,CUST00020,BP500020,CRMORD-306002,SBC_NG,HORECA,BEV,South East Region,Abakpa Route 2,SR0052,ZOR Standard Order,Cancelled,Cash,2026-03-14,NGN,148250,6329.5,141920.5,CRM API,regional_user
SO100054,2026-03-05,CUST00585,BP500585,CRMORD-342875,SBC_NG,HORECA,BEV,Lagos Region,Ikeja Route 1,SR0001,ZOR Standard Order,Completed,Cash,2026-03-07,NGN,12000,360.0,11640.0,SAP,sales_admin2
SO100055,2026-05-07,CUST00064,BP500064,CRMORD-519909,SBC_NG,HORECA,BEV,South West Region,Challenge Route 1,SR0041,ZOR Standard Order,Blocked,Cash,2026-05-09,NGN,264590,0.0,264590.0,SAP,sap_batch
SO100056,2026-01-26,CUST00099,BP500099,CRMORD-835985,SBC_NG,DIST,BEV,Lagos Region,Surulere Route 1,SR0003,ZCR Credit Order,Completed,30 Days,2026-01-28,NGN,4800,576.0,4224.0,SAP,sap_batch
SO100057,2026-01-20,CUST00307,BP500307,CRMORD-549527,SBC_NG,KA,BEV,North Central Region,Asokoro Route 2,SR0036,ZCR Credit Order,Completed,14 Days,2026-01-22,NGN,78800,0.0,78800.0,SAP,sales_admin1
SO100058,2026-04-21,CUST00224,BP500224,CRMORD-438873,SBC_NG,DIST,BEV,South East Region,Nnewi Rte 1,SR0091,ZOR Standard Order,Completed,45 Days,2026-04-22,NGN,79040,1598.0,77442.0,SAP,sales_admin1
SO100059,2026-04-07,CUST00282,BP500282,CRMORD-207591,SBC_NG,GT,BEV,South East Region,Ekwulobia Route 2,SR0094,ZKA Key Account Order,Completed,30 Days,2026-04-11,NGN,164330,4021.7,160308.3,SAP,sap_batch
SO100060,2026-03-27,CUST00338,BP500338,CRMORD-375394,SBC_NG,DIST,BEV,South East Region,New Haven Route 1,SR0049,ZKA Key Account Order,Completed,Cash,2026-03-28,NGN,62670,1297.5,61372.5,SAP,sales_admin2
SO100061,2026-02-17,CUST00314,BP500314,CRMORD-822962,SBC_NG,HORECA,BEV,South East Region,Abakpa Route 2,SR0036,ZKA Key Account Order,Completed,Cash,2026-02-17,NGN,144140,1787.4,142352.6,SAP,sales_admin2
SO100062,2026-01-08,CUST00470,BP500470,CRMORD-486843,SBC_NG,GT,BEV,North West Region,Tarauni Route 1,SR0067,ZOR Standard Order,Completed,7 Days,2026-01-12,NGN,91900,798.0,91102.0,SAP,crm_sync
SO100063,2026-02-05,CUST00498,BP500498,CRMORD-285423,SBC_NG,HORECA,BEV,North West Region,Kaduna Route 2,SR0072,ZOR Standard Order,Completed,Cash,2026-02-06,NGN,344620,8528.4,336091.6,SAP,sap_batch
SO100064,2026-04-01,CUST00505,BP500505,CRMORD-100493,SBC_NG,HORECA,BEV,North Central Region,Maitama Route 2,SR0030,ZOR Standard Order,Completed,7 Days,2026-04-03,NGN,294600,15670.4,278929.6,SAP,sales_admin2
SO100065,2026-02-05,CUST00553,BP500553,CRMORD-622170,SBC_NG,GT,BEV,North West Region,Sabon Gari Route 2,SR0066,ZKA Key Account Order,Completed,14 Days,2026-02-09,NGN,206760,31014.0,175746.0,SAP,sap_batch
SO100066,2026-05-08,CUST00503,BP500503,CRMORD-649236,SBC_NG,GT,BEV,North West Region,Kaduna Route 1,SR0071,ZOR Standard Order,Completed,Cash,2026-05-12,NGN,3900,273.0,3627.0,CRM API,sales_admin1
SO100067,2026-02-16,CUST00378,BP500378,CRMORD-612763,SBC_NG,DIST,BEV,South East Region,Osisioma Route 1,SR0061,ZOR Standard Order,Completed,Cash,2026-02-18,NGN,214010,23858.3,190151.7,Manual Excel Upload,sales_admin2
SO100068,2026-04-25,CUST00056,BP500056,CRMORD-743709,SBC_NG,KA,BEV,South East Region,Osisioma Route 1,SR0061,ZOR Standard Order,Completed,45 Days,2026-04-29,NGN,37800,3072.0,34728.0,SAP,crm_sync
SO100069,2026-02-26,CUST00456,BP500456,,SBC_NG,MT,BEV,Lagos Region,Bonny Route 1,SR0021,ZKA Key Account Order,Completed,14 Days,2026-02-27,NGN,172810,4398.0,168412.0,SAP,sap_batch
SO100070,2026-01-16,CUST00037,BP500037,CRMORD-179532,SBC_NG,HORECA,BEV,South South Region,Rumuokuta Route 2,SR0016,ZOR Standard Order,Completed,30 Days,2026-01-18,NGN,28770,1438.5,27331.5,SAP,sales_admin1
SO100071,2026-03-14,CUST00413,BP500413,CRMORD-737742,SBC_NG,MT,BEV,South East Region,Nnewi Route 1,SR0091,ZOR Standard Order,Open,30 Days,2026-03-19,NGN,111270,4407.2,106862.8,SAP,sap_batch
SO100072,2026-03-26,CUST00494,BP500494,CRMORD-104509,SBC_NG,GT,BEV,Lagos Region,Apapa Route 2,SR0010,ZCR Credit Order,Completed,Cash,2026-03-28,NGN,35000,2450.0,32550.0,SAP,sales_admin1
SO100073,2026-05-13,CUST00063,BP500063,,SBC_NG,DIST,BEV,North West Region,Kawo Route 1,SR0075,ZCR Credit Order,Completed,Cash,2026-05-16,NGN,185480,14258.0,171222.0,Manual Excel Upload,regional_user
SO100074,2026-04-04,CUST00597,BP500597,,SBC_NG,DIST,BEV,South East Region,Nnewi Route 2,SR0092,ZOR Standard Order,Completed,7 Days,2026-04-08,NGN,94080,1128.0,92952.0,SAP,regional_user
SO100075,2026-04-18,CUST00407,BP500407,CRMORD-852634,SBC_NG,HORECA,BEV,South East Region,Ariaria Route 1,SR0059,ZOR Standard Order,Completed,Cash,2026-04-18,NGN,102950,9912.1,93037.9,SAP,sales_admin1
SO100076,2026-01-13,CUST00145,BP500145,CRMORD-717850,SBC_NG,KA,BEV,North Central Region,Garki Route 1,SR0027,ZOR Standard Order,Completed,Cash,2026-01-14,NGN,245210,6699.0,238511.0,SAP,sap_batch
SO100077,2026-02-05,CUST00026,BP500026,CRMORD-699867,SBC_NG,DIST,BEV,South South Region,Port Harcourt Route 1,SR0013,ZOR Standard Order,Completed,30 Days,2026-02-06,NGN,1129600,147348.0,982252.0,SAP,sales_admin2
SO100078,2026-05-18,CUST00174,BP500174,CRMORD-661471,SBC_NG,MT,BEV,South West Region,Mokola Route 2,SR0046,ZOR Standard Order,Completed,Cash,2026-05-18,NGN,22140,778.2,21361.8,SAP,sap_batch
SO100079,2026-01-24,CUST00361,BP500361,,SBC_NG,GT,BEV,South South Region,Eleme Route 1,SR0019,ZOR Standard Order,Completed,14 Days,2026-01-29,NGN,24000,2400.0,21600.0,SAP,sales_admin2
SO100080,2026-02-08,CUST00145,BP500145,CRMORD-137883,SBC_NG,HORECA,BEV,North Central Region,Garki Route 1,SR0014,ZOR Standard Order,Completed,Cash,2026-02-11,NGN,38640,0.0,38640.0,SAP,crm_sync
SO100081,2026-01-04,CUST00575,BP500575,CRMORD-281153,SBC_NG,DIST,BEV,Lagos Region,Rumuokuta Route 2,SR0016,ZOR Standard Order,Completed,Cash,2026-01-09,NGN,19050,571.5,18478.5,SAP,crm_sync
SO100082,2026-04-05,CUST00284,BP500284,CRMORD-616892,SBC_NG,HORECA,BEV,South South Region,Ring Road Route 1,SR0085,ZOR Standard Order,Partially Delivered,14 Days,2026-04-09,NGN,1295810,97217.7,1198592.3,SAP,sales_admin1
SO100083,2026-02-25,CUST00419,BP500419,CRMORD-661587,SBC_NG,HORECA,BEV,South East Region,Aba Route 2,SR0056,ZOR Standard Order,Open,45 Days,2026-02-27,NGN,100100,0.0,100100.0,CRM API,sap_batch
SO100084,2026-02-20,CUST00288,BP500288,CRMORD-248770,SBC_NG,HORECA,BEV,South West Region,Dugbe Route 2,SR0044,ZOR Standard Order,Completed,Cash,2026-02-20,NGN,66600,4680.0,61920.0,SAP,regional_user
SO100085,2026-03-01,CUST00272,BP500272,CRMORD-182490,SBC_NG,GT,BEV,South South Region,Ring Road Route 1,SR0085,ZOR Standard Order,Completed,Cash,2026-03-03,NGN,92100,0.0,92100.0,SAP,sap_batch
SO100086,2026-05-16,CUST00053,BP500053,CRMORD-184145,SBC_NG,DIST,BEV,South South Region,Bonny Route 2,SR0022,ZOR Standard Order,Completed,Cash,2026-05-18,NGN,1445700,132129.6,1313570.4,SAP,sales_admin2
SO100087,2026-03-16,CUST00515,BP500515,CRMORD-484059,SBC_NG,MT,BEV,North West Region,Kano Route 1,SR0063,ZOR Standard Order,Completed,Cash,2026-03-17,NGN,201510,16769.6,184740.4,SAP,sap_batch
SO100088,2026-04-30,CUST00599,BP500599,CRMORD-998874,SBC_NG,KA,BEV,North Central Region,Maitama Route 1,SR0029,ZOR Standard Order,Completed,45 Days,2026-05-01,NGN,41580,0.0,41580.0,SAP,sales_admin1
SO100089,2026-05-04,CUST00454,BP500454,CRMORD-610996,SBC_NG,DIST,BEV,North Central Region,Maitama Route 2,SR0030,ZOR Standard Order,Completed,Cash,2026-05-05,NGN,242480,19648.0,222832.0,SAP,sap_batch
SO100090,2026-05-10,CUST00150,BP500150,CRMORD-568091,SBC_NG,GT,BEV,North West Region,Kawo Route 2,SR0076,ZOR Standard Order,Open,Cash,2026-05-11,NGN,12880,0.0,12880.0,SAP,sales_admin1
SO100091,2026-02-20,CUST00178,BP500178,CRMORD-333060,SBC_NG,GT,BEV,North West Region,Kano Route 1,SR0063,ZCR Credit Order,Completed,7 Days,2026-02-21,NGN,84300,4341.4,79958.6,SAP,crm_sync
SO100092,2026-01-08,CUST00276,BP500276,CRMORD-901896,SBC_NG,KA,BEV,South South Region,Trans-Amadi Route 2,SR0018,ZOR Standard Order,Completed,Cash,2026-01-11,NGN,133180,10749.0,122431.0,SAP,sap_batch
SO100093,2026-03-19,CUST00296,BP500296,CRMORD-100889,SBC_NG,GT,BEV,South East Region,Aba Route 2,SR0056,ZKA Key Account Order,Open,30 Days,2026-03-21,NGN,75500,3775.0,71725.0,SAP,sales_admin2
SO100094,2026-03-09,CUST00432,BP500432,CRMORD-721968,SBC_NG,DIST,BEV,South East Region,Abakpa Route 1,SR0051,ZOR Standard Order,Completed,30 Days,2026-03-14,NGN,1678660,180095.0,1498565.0,SAP,regional_user
SO100095,2026-04-02,CUST00420,BP500420,CRMORD-109870,SBC_NG,GT,BEV,South East Region,Independence Layout Route 2,SR0054,ZOR Standard Order,Completed,Cash,2026-04-03,NGN,52830,3698.1,49131.9,SAP,crm_sync
SO100096,2026-02-24,CUST00520,BP500520,CRMORD-774236,SBC_NG,DIST,BEV,South East Region,Enugu Route 1,SR0047,ZOR Standard Order,Cancelled,7 Days,2026-02-24,NGN,80460,1609.2,78850.8,SAP,sap_batch
SO100097,2026-01-12,CUST00540,BP500540,CRMORD-730589,SBC_NG,HORECA,BEV,South East Region,Independence Layout Route 1,SR0053,ZOR Standard Order,Open,Cash,2026-01-14,NGN,73500,8452.5,65047.5,SAP,sales_admin2
SO100098,2026-03-07,CUST00331,BP500331,CRMORD-837374,SBC_NG,MT,BEV,Lagos Region,Ikeja Route 1,SR0001,ZKA Key Account Order,Open,Cash,2026-03-12,NGN,102120,4328.4,97791.6,SAP,sales_admin1
SO100099,2026-03-13,CUST00594,BP500594,CRMORD-212838,SBC_NG,DIST,BEV,North Central Region,Wuse Route 2,SR0026,ZOR Standard Order,Completed,Cash,2026-03-13,NGN,64110,638.2,63471.8,SAP,crm_sync
SO100100,2026-03-21,CUST00015,BP500015,CRMORD-801918,SBC_NG,MT,BEV,South South Region,Oyigbo Route 1,SR0023,ZOR Standard Order,Completed,14 Days,2026-03-23,NGN,210800,21369.6,189430.4,SAP,sap_batch
SO100101,2026-03-10,CUST00205,BP500205,CRMORD-603615,SBC_NG,DIST,BEV,North West Region,Kano Route 2,SR0064,ZOR Standard Order,Completed,7 Days,2026-03-11,NGN,945070,52898.3,892171.7,SAP,crm_sync
SO100102,2026-02-18,CUST00525,BP500525,CRMORD-349697,SBC_NG,MT,BEV,North West Region,Kawo Route 1,SR0075,ZKA Key Account Order,Completed,Cash,2026-02-20,NGN,34000,1344.0,32656.0,SAP,sales_admin2
SO100103,2026-05-24,CUST00592,BP500592,CRMORD-108657,SBC_NG,KA,BEV,South East Region,Aba Route 2,SR0056,ZOR Standard Order,Open,Cash,2026-05-27,NGN,146660,12991.2,133668.8,SAP,sales_admin1
SO100104,2026-05-31,CUST00529,BP500529,CRMORD-996675,SBC_NG,DIST,BEV,South East Region,Awka Route 1,SR0089,ZOR Standard Order,Completed,Cash,2026-06-02,NGN,1004400,110076.0,894324.0,SAP,sap_batch
SO100105,2026-02-04,CUST00235,BP500235,CRMORD-716381,SBC_NG,HORECA,BEV,South East Region,New Haven Route 2,SR0050,ZCR Credit Order,Completed,14 Days,2026-02-06,NGN,86400,5432.0,80968.0,SAP,sales_admin1
SO100106,2026-05-02,CUST00502,BP500502,,SBC_NG,DIST,BEV,North West Region,Kaduna Route 1,SR0071,ZCR Credit Order,Completed,Cash,2026-05-02,NGN,224640,15724.8,208915.2,SAP,sales_admin1
SO100107,2026-01-13,CUST00451,BP500451,CRMORD-474685,SBC_NG,DIST,BEV,Lagos Region,Lekki Route 1,SR0007,ZCR Credit Order,Open,Cash,2026-01-18,NGN,1360160,68404.0,1291756.0,SAP,crm_sync
SO100108,2026-03-04,CUST00342,BP500342,CRMORD-531612,SBC_NG,GT,BEV,South West Region,Challenge Route 2,SR0042,ZCR Credit Order,Partially Delivered,Cash,2026-03-07,NGN,357890,5382.0,352508.0,SAP,crm_sync
SO100109,2026-04-29,CUST00499,BP500499,CRMORD-254414,SBC_NG,GT,BEV,North Central Region,Kubwa Route 1,SR0031,ZOR Standard Order,Completed,Cash,2026-05-03,NGN,1335650,128158.0,1207492.0,SAP,regional_user
SO100110,2026-05-10,CUST00171,BP500171,CRMORD-884040,SBC_NG,DIST,BEV,North Central Region,Gwarinpa Route 2,SR0034,ZOR Standard Order,Open,Cash,2026-05-15,NGN,51990,336.0,51654.0,CRM API,crm_sync
SO100111,2026-01-20,CUST00592,BP500592,CRMORD-644031,SBC_NG,DIST,BEV,South East Region,Aba Route 2,SR0056,ZFO Free-of-charge,Completed,Cash,2026-01-21,NGN,97260,4863.0,92397.0,SAP,sap_batch
SO100112,2026-01-17,CUST_DUP002,BP-DUP-002,CRMORD-521084,SBC_NG,MT,BEV,South East Region,Nnewi Route 1,SR0091,ZOR Standard Order,Partially Delivered,30 Days,2026-01-20,NGN,30680,614.0,30066.0,CRM API,sap_batch
SO100113,2026-01-31,CUST00313,BP500313,CRMORD-379865,SBC_NG,MT,BEV,South South Region,Ring Road Route 1,SR0085,ZOR Standard Order,Completed,14 Days,2026-02-01,NGN,27040,0.0,27040.0,SAP,sales_admin2
SO100114,2026-03-06,CUST00540,BP500540,CRMORD-627913,SBC_NG,MT,BEV,South East Region,Independence Layout Route 1,SR0053,ZKA Key Account Order,Completed,Cash,2026-03-07,NGN,181600,8941.0,172659.0,SAP,sales_admin1
SO100115,2026-01-12,CUST00359,BP500359,CRMORD-254580,SBC_NG,DIST,BEV,South East Region,Osisioma Route 2,SR0062,ZOR Standard Order,Completed,7 Days,2026-01-15,NGN,531700,63804.0,467896.0,SAP,regional_user
