order_id,delivery_id,invoice_id,delivery_date,invoice_date,delivery_status,invoice_status,ordered_cases,confirmed_cases,delivered_cases,invoice_value,return_cases,return_reason,proof_of_delivery,payment_status
SO100114,DLV435808,INV736175,2026-03-06,2026-03-07,Delivered,Invoiced,48,41,41,147479.56,0,,Pending,Paid
SO100115,DLV305569,INV766707,2026-01-12,2026-01-13,Delivered,Invoiced,130,130,130,467896.0,0,,Pending,Paid
SO100116,,,,,Not Delivered,Not Invoiced,35,35,0,0.0,0,,,
SO100117,DLV382390,,2026-03-26,,Partially Delivered,Not Invoiced,75,75,45,0.0,0,,Yes,
SO100118,DLV469886,INV744882,2026-02-16,2026-02-16,Partially Delivered,Invoiced,26,26,16,43273.97,0,,Yes,Partially Paid
SO100119,DLV463313,INV823921,2026-04-23,2026-04-26,Delivered,Invoiced,31,31,35,63151.29,0,,No,Paid
SO100120,DLV310993,INV888882,2026-04-16,2026-04-17,Delivered,Invoiced,31,31,31,94840.8,0,,Yes,Unpaid
SO100121,DLV392065,INV772395,2026-02-10,2026-02-10,Delivered,Invoiced,12,12,12,31146.0,0,,Yes,Paid
SO100122,DLV354582,INV815137,2026-01-18,2026-01-18,Delivered,Invoiced,57,57,57,275828.9,0,,Yes,Paid
SO100123,DLV337989,INV793573,2026-01-17,2026-01-17,Partially Delivered,Invoiced,160,148,62,189859.5,0,,Yes,Unpaid
SO100124,DLV461073,INV804581,2026-02-05,2026-02-06,Delivered,Invoiced,13,13,13,43719.2,0,,Yes,Partially Paid
SO100125,DLV305034,,2026-01-16,,Delivered,Not Invoiced,60,60,60,0.0,0,,Pending,
SO100126,DLV340416,INV754147,2026-01-25,2026-01-27,Partially Delivered,Invoiced,60,60,44,152833.56,0,,Yes,Paid
SO100127,DLV389936,INV808143,2026-04-12,2026-04-13,Delivered,Invoiced,13,12,12,45306.46,0,,Yes,Paid
SO100128,DLV456314,INV836762,2026-03-29,2026-03-29,Delivered,Invoiced,12,11,11,34266.83,1,Wrong SKU delivered,Yes,Unpaid
SO100129,DLV434045,INV848231,2026-02-16,2026-02-16,Partially Delivered,Invoiced,38,38,14,50775.05,0,,Yes,Unpaid
SO100130,DLV430475,INV765213,2026-05-25,2026-05-26,Delivered,Invoiced,8,8,8,33372.0,0,,No,Unpaid
SO100131,DLV308712,INV873832,2026-03-13,2026-03-14,Delivered,Invoiced,640,640,640,1957940.2,0,,Yes,Paid
SO100132,DLV364149,INV884423,2026-02-26,2026-02-26,Delivered,Invoiced,36,29,29,87873.38,0,,Yes,Paid
SO100133,DLV368654,INV736551,2026-05-22,2026-05-23,Delivered,Invoiced,79,75,75,256756.71,0,,Yes,Unpaid
SO100134,,,,,Not Delivered,Not Invoiced,22,22,0,0.0,0,,,
SO100135,DLV381356,INV878531,2026-04-29,2026-04-30,Delivered,Invoiced,8,8,8,35040.0,0,,Yes,Paid
SO100136,DLV456536,INV795749,2026-05-04,2026-05-05,Delivered,Invoiced,9,9,9,33300.0,0,,Yes,Overdue
SO100137,DLV386122,INV733313,2026-05-10,2026-05-10,Delivered,Partially Invoiced,11,11,11,31406.1,0,,Yes,Paid
SO100138,,,,,Not Delivered,Not Invoiced,95,95,0,0.0,0,,,
SO100139,,,,,Not Delivered,Not Invoiced,25,25,0,0.0,0,,,
SO100140,DLV362629,INV782428,2026-03-06,2026-03-09,Delivered,Partially Invoiced,4,4,4,9966.0,0,,Pending,Paid
SO100141,DLV491822,INV823722,2026-01-29,2026-01-29,Partially Delivered,Invoiced,60,60,34,127840.0,0,,Yes,Partially Paid
SO100142,,,,,Not Delivered,Not Invoiced,63,63,0,0.0,0,,,
SO100143,DLV329837,INV819118,2026-01-06,2026-01-07,Delivered,Invoiced,129,129,129,190368.0,0,,Yes,Paid
SO100144,DLV341253,INV737861,2026-03-07,2026-03-10,Delivered,Invoiced,30,29,29,107839.01,0,,Yes,Paid
SO100145,,,,,Not Delivered,Not Invoiced,13,13,0,0.0,0,,,
SO100146,DLV407668,INV842722,2026-01-26,2026-01-27,Delivered,Invoiced,10,10,10,20800.0,0,,No,Paid
SO100147,DLV336315,INV768536,2026-05-05,2026-05-06,Delivered,Invoiced,33,33,33,61132.5,0,,Yes,Paid
SO100148,DLV431681,INV875316,2026-03-30,2026-03-30,Delivered,Invoiced,42,42,42,118305.0,0,,Yes,Partially Paid
SO100149,DLV349350,INV723868,2026-02-14,2026-02-16,Delivered,Invoiced,5,5,5,21900.0,0,,Yes,Paid
SO100150,DLV427164,INV886613,2026-03-16,2026-03-17,Partially Delivered,Invoiced,17,17,7,20997.08,1,Short delivery claim,Yes,Unpaid
SO100151,DLV471642,INV723363,2026-01-26,2026-01-27,Delivered,Invoiced,63,63,63,121867.2,0,,Yes,Paid
SO100152,DLV466756,,2026-03-31,,Delivered,Not Invoiced,378,378,378,0.0,0,,Yes,
SO100153,,,,,Not Delivered,Not Invoiced,134,129,0,0.0,0,,,
SO100154,DLV414246,INV745942,2026-05-15,2026-05-18,Delivered,Invoiced,513,513,513,2235204.0,0,,Yes,Paid
SO100155,DLV340355,INV782518,2026-04-07,2026-04-10,Delivered,Invoiced,21,21,21,53015.2,0,,Yes,Paid
SO100156,DLV402623,INV766975,2026-06-04,2026-06-06,Delivered,Invoiced,41,39,39,101318.2,0,,Pending,Paid
SO100157,DLV390682,INV733108,2026-05-31,2026-06-01,Delivered,Invoiced,40,40,40,133273.8,0,,Yes,Paid
SO100158,DLV333397,INV742920,2026-03-03,2026-03-03,Delivered,Invoiced,300,300,300,697692.0,0,,Yes,Paid
SO100159,,,,,Not Delivered,Not Invoiced,42,42,0,0.0,0,,,
SO100160,DLV308856,INV777802,2026-04-23,2026-04-23,Delivered,Invoiced,3,3,3,11790.0,0,,Yes,Unpaid
SO100161,DLV333250,INV847940,2026-02-12,2026-02-12,Delivered,Partially Invoiced,5,5,5,10400.0,0,,Yes,Paid
SO100162,DLV338553,INV752798,2026-05-18,2026-05-21,Partially Delivered,Invoiced,40,38,16,78382.36,0,,Yes,Unpaid
SO100163,DLV305881,INV743222,2026-03-30,2026-03-31,Delivered,Invoiced,14,14,14,51210.8,0,,Yes,Paid
SO100164,DLV306660,INV721129,2026-02-28,2026-03-03,Partially Delivered,Invoiced,60,31,25,61731.25,0,,Yes,Unpaid
SO100165,DLV458257,INV806534,2026-02-14,2026-02-17,Delivered,Invoiced,5,5,5,7700.0,0,,Yes,Partially Paid
SO100166,DLV443356,INV815946,2026-05-04,2026-05-04,Delivered,Invoiced,47,47,47,114183.5,0,,Yes,Unpaid
SO100167,DLV447147,INV816893,2026-04-08,2026-04-10,Delivered,Invoiced,3,3,3,10137.6,0,,No,Partially Paid
SO100168,DLV473687,INV848109,2026-04-21,2026-04-23,Delivered,Invoiced,33,20,20,38000.0,1,Expired/near expiry,No,Paid
SO100169,DLV484992,INV707474,2026-01-02,2026-01-02,Delivered,Invoiced,11,11,11,51455.0,0,,Yes,Paid
SO100170,DLV438575,INV821639,2026-05-06,2026-05-07,Delivered,Invoiced,8,6,6,23230.12,0,,Yes,Unpaid
SO100171,DLV364246,INV771310,2026-04-14,2026-04-15,Delivered,Invoiced,12,12,12,28956.3,0,,No,Paid
SO100172,DLV431711,INV885711,2026-04-16,2026-04-18,Delivered,Invoiced,32,32,32,92145.8,0,,Yes,Paid
SO100173,,,,,Not Delivered,Not Invoiced,31,31,0,0.0,0,,,
SO100174,DLV375988,INV754159,2026-05-21,2026-05-23,Delivered,Invoiced,141,120,120,583120.43,0,,Yes,Unpaid
SO100175,DLV451930,INV806786,2026-05-03,2026-05-06,Delivered,Partially Invoiced,4,4,4,12060.0,0,,Yes,Paid
SO100176,DLV370908,INV884144,2026-02-19,2026-02-21,Delivered,Invoiced,90,90,90,269334.0,0,,No,Paid
SO100177,DLV420982,INV787683,2026-05-13,2026-05-13,Delivered,Invoiced,8,8,8,44560.0,0,,Yes,Paid
SO100178,DLV406404,INV891534,2026-04-06,2026-04-09,Delivered,Partially Invoiced,33,33,33,95380.0,0,,Yes,Paid
SO100179,DLV358420,INV843678,2026-05-01,2026-05-01,Delivered,Invoiced,2,1,1,1860.0,0,,Yes,Unpaid
SO100180,DLV325100,INV770719,2026-05-17,2026-05-20,Partially Delivered,Invoiced,13,13,7,20155.96,0,,Pending,Paid
SO100181,DLV321505,INV774028,2026-03-20,2026-03-23,Delivered,Invoiced,48,48,48,103236.5,0,,Yes,Unpaid
SO100182,DLV393762,INV755075,2026-03-13,2026-03-14,Delivered,Invoiced,72,68,68,215454.32,0,,Yes,Paid
SO100183,DLV441090,INV891409,2026-02-12,2026-02-14,Delivered,Invoiced,393,393,393,797758.4,0,,Yes,Paid
SO100184,DLV302434,INV877547,2026-03-14,2026-03-14,Delivered,Invoiced,8,8,8,30835.2,0,,Yes,Paid
SO100185,DLV471550,INV837938,2026-05-24,2026-05-26,Delivered,Invoiced,29,29,29,136931.5,0,,Yes,Paid
SO100186,DLV463547,INV742174,2026-04-13,2026-04-13,Delivered,Invoiced,121,121,121,496336.4,0,,Yes,Paid
SO100187,,,,,Not Delivered,Not Invoiced,24,23,0,0.0,0,,,
SO100188,,,,,Not Delivered,Not Invoiced,60,60,0,0.0,0,,,
SO100189,,,,,Not Delivered,Not Invoiced,9,9,0,0.0,0,,,
SO100190,DLV496037,INV740516,2026-02-19,2026-02-20,Delivered,Invoiced,159,121,121,350326.2,0,,Yes,Partially Paid
SO100191,DLV422175,INV821299,2026-06-02,2026-06-05,Delivered,Invoiced,12,12,12,20520.0,0,,Yes,Partially Paid
SO100192,DLV391670,INV783928,2026-01-12,2026-01-13,Delivered,Invoiced,13,13,13,31395.2,0,,Yes,Paid
SO100193,,,,,Not Delivered,Not Invoiced,205,205,0,0.0,0,,,
SO100194,,,,,Not Delivered,Not Invoiced,76,76,0,0.0,0,,,
SO100195,DLV394387,INV886260,2026-04-28,2026-04-30,Partially Delivered,Invoiced,39,37,18,55107.69,0,,Yes,Paid
SO100196,DLV338376,INV721782,2026-04-28,2026-04-28,Partially Delivered,Invoiced,97,85,63,132644.49,0,,Yes,Unpaid
SO100197,DLV373978,INV842692,2026-05-15,2026-05-15,Delivered,Invoiced,2,0,0,0.0,0,,Yes,Paid
SO100198,DLV314277,INV746526,2026-05-15,2026-05-16,Delivered,Invoiced,68,118,118,510901.82,0,,Yes,Partially Paid
SO100199,DLV465208,INV810803,2026-01-16,2026-01-18,Delivered,Invoiced,32,32,32,84804.6,0,,Yes,Paid
SO100200,,,,,Not Delivered,Not Invoiced,6,6,0,0.0,0,,,
SO100201,DLV385513,INV855950,2026-05-30,2026-05-30,Delivered,Cancelled Invoice,50,50,50,163960.8,0,,Yes,
SO100202,DLV492858,INV720305,2026-02-03,2026-02-06,Partially Delivered,Invoiced,125,125,65,227703.84,16,Short delivery claim,Yes,Paid
SO100203,DLV495585,INV769019,2026-03-05,2026-03-07,Delivered,Invoiced,2,2,2,7607.4,0,,Pending,Unpaid
SO100204,,,,,Not Delivered,Not Invoiced,23,23,0,0.0,0,,,
SO100205,DLV349204,INV758785,2026-03-10,2026-03-12,Delivered,Invoiced,97,74,74,179152.86,0,,Yes,Unpaid
SO100206,DLV499955,INV754824,2026-01-26,2026-01-26,Delivered,Invoiced,5,5,5,18130.0,0,,Yes,Unpaid
SO100207,DLV436751,INV876437,2026-01-06,2026-01-09,Partially Delivered,Cancelled Invoice,33,33,16,50905.6,0,,Yes,
SO100208,DLV411033,INV785440,2026-03-26,2026-03-28,Delivered,Invoiced,20,20,20,39705.6,0,,Yes,Overdue
SO100209,DLV407198,INV886050,2026-04-14,2026-04-14,Partially Delivered,Invoiced,17,17,9,23537.65,0,,Yes,Paid
SO100210,DLV358363,INV794466,2026-01-25,2026-01-25,Delivered,Invoiced,25,23,23,86403.09,0,,Pending,Partially Paid
SO100211,DLV428572,INV877167,2026-04-07,2026-04-07,Partially Delivered,Invoiced,5,4,1,1960.0,0,,Yes,Paid
SO100212,DLV374125,INV719290,2026-02-11,2026-02-12,Delivered,Invoiced,34,34,34,73529.6,0,,Yes,Unpaid
SO100213,DLV405646,,2026-04-02,,Delivered,Not Invoiced,61,61,61,0.0,0,,Yes,
SO100214,DLV395151,INV768770,2026-05-29,2026-05-31,Delivered,Invoiced,26,26,26,65124.5,0,,Yes,Unpaid
SO100215,DLV468684,INV762547,2026-04-20,2026-04-20,Delivered,Invoiced,76,76,76,181618.0,0,,Yes,Unpaid
SO100216,DLV359721,INV709714,2026-03-02,2026-03-03,Delivered,Invoiced,47,47,47,192312.6,0,,Yes,Partially Paid
SO100217,DLV486401,INV866220,2026-01-28,2026-01-31,Partially Delivered,Invoiced,307,307,218,672024.27,0,,Yes,Paid
SO100218,DLV369246,INV738674,2026-01-10,2026-01-13,Delivered,Invoiced,17,17,17,65643.6,0,,Yes,Paid
SO100219,DLV387856,INV768589,2026-04-14,2026-04-15,Delivered,Invoiced,39,32,32,103029.83,0,,Yes,Paid
SO100220,DLV317158,INV721894,2026-02-10,2026-02-13,Delivered,Invoiced,226,226,226,597043.86,0,,Yes,Unpaid
SO100221,DLV330645,INV793411,2026-05-09,2026-05-12,Partially Delivered,Invoiced,5,5,3,15681.6,0,,No,Unpaid
SO100222,DLV360365,INV766991,2026-04-18,2026-04-18,Delivered,Invoiced,14,14,14,38676.0,0,,Yes,Partially Paid
SO100223,DLV328577,,2026-01-10,,Delivered,Not Invoiced,124,124,124,0.0,0,,No,
SO100224,DLV498863,INV837675,2026-04-11,2026-04-14,Delivered,Invoiced,20,20,20,38688.0,0,,Yes,Paid
SO100225,,,,,Not Delivered,Not Invoiced,60,52,0,0.0,0,,,
SO100226,,,,,Not Delivered,Not Invoiced,30,28,0,0.0,0,,,
SO100227,DLV409583,INV850467,2026-03-04,2026-03-04,Delivered,Invoiced,30,30,40,131800.0,1,Short delivery claim,Yes,Paid
SO100228,DLV343430,INV787070,2026-02-25,2026-02-25,Partially Delivered,Invoiced,44,44,27,102121.36,0,,Yes,Paid
