invoice_id,order_id,customer_id,invoice_date,due_date,invoice_value,amount_paid,outstanding_amount,payment_status,last_payment_date,collection_owner
INV824008,SO100051,CUST00214,2026-04-18,2026-04-18,45369.87,45369.87,0.0,Paid,2026-04-30,Finance Team B
INV722865,SO100052,CUST00423,2026-05-19,2026-05-19,14008.0,0,14008.0,Unpaid,,Finance Team B
INV851970,SO100054,CUST00585,2026-03-10,2026-03-10,11640.0,11640.0,0.0,Paid,2026-03-13,Finance Team B
INV869485,SO100057,CUST00307,2026-01-22,2026-02-05,78800.0,78800.0,0.0,Paid,2026-02-22,Cash Sales
INV788806,SO100058,CUST00224,2026-04-24,2026-06-08,64535.0,3769.07,60765.93,Overdue,2026-05-28,Finance Team B
INV823172,SO100059,CUST00282,2026-04-11,2026-05-11,138774.35,0,138774.35,Unpaid,,Regional Credit Officer
INV894732,SO100060,CUST00338,2026-03-31,2026-03-31,61372.5,16086.16,45286.34,Overdue,2026-04-20,Regional Credit Officer
INV725435,SO100061,CUST00314,2026-02-19,2026-02-19,142352.6,79283.99,63068.61,Partially Paid,2026-03-11,Finance Team B
INV708730,SO100062,CUST00470,2026-01-10,2026-01-17,85224.45,85224.45,0.0,Paid,2026-02-02,Finance Team A
INV889485,SO100063,CUST00498,2026-02-13,2026-02-13,336091.6,336091.6,0.0,Paid,2026-02-17,Cash Sales
INV806536,SO100064,CUST00505,2026-04-01,2026-04-08,189672.13,0,189672.13,Unpaid,,Finance Team A
INV779626,SO100065,CUST00553,2026-02-18,2026-03-04,175746.0,70789.65,104956.35,Partially Paid,2026-03-09,Finance Team B
INV799233,SO100066,CUST00503,2026-05-13,2026-05-13,3627.0,3627.0,0.0,Paid,2026-05-13,Cash Sales
INV874579,SO100068,CUST00056,2026-04-27,2026-06-11,31570.91,31570.91,0.0,Paid,2026-05-03,Finance Team A
INV719997,SO100069,CUST00456,2026-03-08,2026-03-22,168412.0,168412.0,0.0,Paid,2026-03-17,Regional Credit Officer
INV888613,SO100071,CUST00413,2026-03-24,2026-04-23,62860.47,0,62860.47,Unpaid,,Cash Sales
INV790660,SO100073,CUST00063,2026-05-23,2026-05-23,171222.0,0,171222.0,Unpaid,,Finance Team B
INV739311,SO100074,CUST00597,2026-04-09,2026-04-16,92952.0,0,92952.0,Unpaid,,Finance Team A
INV739604,SO100075,CUST00407,2026-04-21,2026-04-21,93037.9,93037.9,0.0,Paid,2026-04-23,Cash Sales
INV714008,SO100076,CUST00145,2026-01-15,2026-01-15,220338.73,0,220338.73,Unpaid,,Finance Team A
INV837435,SO100077,CUST00026,2026-02-06,2026-03-08,982252.0,982252.0,0.0,Paid,2026-02-15,Finance Team A
INV718801,SO100078,CUST00174,2026-05-21,2026-05-21,21361.8,21361.8,0.0,Paid,2026-06-05,Regional Credit Officer
INV707022,SO100080,CUST00145,2026-02-10,2026-02-10,38640.0,38640.0,0.0,Paid,2026-02-13,Finance Team A
INV788691,SO100081,CUST00575,2026-01-06,2026-01-06,18478.5,0,18478.5,Unpaid,,Regional Credit Officer
INV742706,SO100082,CUST00284,2026-04-09,2026-04-23,894085.07,894085.07,0.0,Paid,2026-05-08,Finance Team B
INV709554,SO100084,CUST00288,2026-03-02,2026-03-02,40635.0,40635.0,0.0,Paid,2026-03-21,Finance Team B
INV863885,SO100085,CUST00272,2026-03-03,2026-03-03,92100.0,0,92100.0,Unpaid,,Regional Credit Officer
INV809289,SO100086,CUST00053,2026-05-18,2026-05-18,1313570.4,0,1313570.4,Unpaid,,Regional Credit Officer
INV772764,SO100087,CUST00515,2026-03-18,2026-03-18,184740.4,0,184740.4,Unpaid,,Cash Sales
INV824606,SO100088,CUST00599,2026-05-03,2026-06-17,41580.0,41580.0,0.0,Paid,2026-07-03,Cash Sales
INV800454,SO100089,CUST00454,2026-05-09,2026-05-09,130942.52,21462.36,109480.16,Overdue,2026-05-21,Finance Team A
INV813350,SO100091,CUST00178,2026-02-22,2026-03-01,69297.45,0,69297.45,Unpaid,,Finance Team B
INV716790,SO100092,CUST00276,2026-01-18,2026-01-18,49879.3,49879.3,0.0,Paid,2026-02-01,Finance Team B
INV708160,SO100093,CUST00296,2026-03-22,2026-04-21,50207.5,50207.5,0.0,Paid,2026-04-21,Finance Team A
INV725520,SO100094,CUST00432,2026-03-15,2026-04-14,1498565.0,1498565.0,0.0,Paid,2026-05-02,Cash Sales
INV812939,SO100095,CUST00420,2026-04-14,2026-04-14,49131.9,0,49131.9,Unpaid,,Finance Team B
INV756640,SO100100,CUST00015,2026-03-23,2026-04-06,189430.4,189430.4,0.0,Paid,2026-04-22,Finance Team B
INV832965,SO100101,CUST00205,2026-03-10,2026-03-17,892171.7,33513.61,858658.09,Overdue,2026-04-01,Finance Team A
INV821823,SO100102,CUST00525,2026-03-02,2026-03-02,32656.0,32656.0,0.0,Paid,2026-03-20,Cash Sales
INV766028,SO100103,CUST00592,2026-05-25,2026-05-25,62967.95,48968.9,13999.05,Partially Paid,2026-06-04,Finance Team A
INV863379,SO100104,CUST00529,2026-06-01,2026-06-01,723070.47,723070.47,0.0,Paid,2026-06-02,Regional Credit Officer
INV744520,SO100105,CUST00235,2026-02-06,2026-02-20,80968.0,0,80968.0,Unpaid,,Finance Team A
INV845582,SO100106,CUST00502,2026-05-12,2026-05-12,75441.6,0,75441.6,Unpaid,,Finance Team A
INV820665,SO100107,CUST00451,2026-01-15,2026-01-15,739607.0,739607.0,0.0,Paid,2026-01-29,Finance Team A
INV791296,SO100108,CUST00342,2026-03-05,2026-03-05,254589.11,254589.11,0.0,Paid,2026-03-23,Cash Sales
INV865421,SO100109,CUST00499,2026-05-05,2026-05-05,630664.61,0,630664.61,Unpaid,,Regional Credit Officer
INV761613,SO100110,CUST00171,2026-05-21,2026-05-21,43045.0,11396.19,31648.81,Overdue,2026-05-22,Finance Team A
INV757557,SO100111,CUST00592,2026-01-30,2026-01-30,92397.0,0,92397.0,Unpaid,,Finance Team B
INV756390,SO100112,CUST_DUP002,2026-01-21,2026-02-20,16703.33,1490.23,15213.1,Overdue,2026-02-15,Regional Credit Officer
INV886821,SO100113,CUST00313,2026-02-01,2026-02-15,14560.0,0,14560.0,,,Cash Sales
INV736175,SO100114,CUST00540,2026-03-07,2026-03-07,147479.56,147479.56,0.0,Paid,2026-03-23,Regional Credit Officer
INV766707,SO100115,CUST00359,2026-01-13,2026-01-20,467896.0,467896.0,0.0,Paid,2026-01-26,Regional Credit Officer
INV744882,SO100118,CUST00390,2026-02-16,2026-03-02,43273.97,12436.79,30837.18,Partially Paid,2026-02-17,Cash Sales
INV823921,SO100119,CUST00326,2026-04-26,2026-04-26,63151.29,63151.29,0.0,Paid,2026-05-05,Finance Team B
INV888882,SO100120,CUSTX75466,2026-04-17,2026-04-24,94840.8,0,94840.8,Unpaid,,Finance Team A
INV772395,SO100121,CUST00456,2026-02-10,2026-02-24,31146.0,31146.0,0.0,Paid,2026-02-18,Finance Team B
INV815137,SO100122,CUST00584,2026-01-18,2026-03-04,275828.9,275828.9,0.0,Paid,2026-01-30,Finance Team A
INV793573,SO100123,CUST00369,2026-01-17,2026-01-17,189859.5,0,189859.5,Unpaid,,Finance Team B
INV804581,SO100124,CUST00382,2026-02-06,2026-02-06,43719.2,34934.0,8785.2,Partially Paid,2026-02-08,Finance Team A
INV754147,SO100126,CUST_DUP006,2026-01-27,2026-02-10,152833.56,152833.56,0.0,Paid,2026-01-27,Regional Credit Officer
INV808143,SO100127,CUST00201,2026-04-13,2026-04-13,45306.46,45306.46,0.0,Paid,2026-04-21,Finance Team A
INV836762,SO100128,CUST00166,2026-03-29,2026-03-29,34266.83,0,34266.83,Unpaid,,Regional Credit Officer
INV848231,SO100129,CUST00401,2026-02-16,2026-03-02,50775.05,0,50775.05,Unpaid,,Finance Team B
INV765213,SO100130,CUSTX71527,2026-05-26,2026-06-02,33372.0,0,33372.0,Unpaid,,Regional Credit Officer
INV873832,SO100131,CUST00120,2026-03-14,2026-04-13,1957940.2,1957940.2,0.0,Paid,2026-03-16,Cash Sales
INV884423,SO100132,CUST00172,2026-02-26,2026-03-28,87873.38,87873.38,0.0,Paid,2026-03-06,Cash Sales
INV736551,SO100133,CUST00374,2026-05-23,2026-06-06,256756.71,0,256756.71,Unpaid,,Regional Credit Officer
INV878531,SO100135,CUST00513,2026-04-30,2026-05-30,35040.0,35040.0,0.0,Paid,2026-04-30,Cash Sales
INV795749,SO100136,CUSTX74401,2026-05-05,2026-05-12,33300.0,5212.06,28087.94,Overdue,2026-05-22,Cash Sales
INV733313,SO100137,CUST00318,2026-05-10,2026-05-24,31406.1,31406.1,0.0,Paid,2026-06-06,Finance Team B
INV782428,SO100140,CUST00309,2026-03-09,2026-03-09,9966.0,9966.0,0.0,Paid,2026-03-13,Finance Team B
INV823722,SO100141,CUST00255,2026-01-29,2026-01-29,127840.0,101712.21,26127.79,Partially Paid,2026-02-11,Regional Credit Officer
INV819118,SO100143,CUST00135,2026-01-07,2026-01-21,190368.0,190368.0,0.0,Paid,2026-01-19,Regional Credit Officer
INV737861,SO100144,CUST00428,2026-03-10,2026-03-10,107839.01,107839.01,0.0,Paid,2026-03-29,Regional Credit Officer
INV842722,SO100146,CUST00575,2026-01-27,2026-01-27,20800.0,20800.0,0.0,Paid,2026-01-30,Finance Team B
INV768536,SO100147,CUST00340,2026-05-06,2026-05-06,61132.5,61132.5,0.0,Paid,2026-05-16,Cash Sales
INV875316,SO100148,CUST00346,2026-03-30,2026-03-30,118305.0,49074.85,69230.15,Partially Paid,2026-04-13,Regional Credit Officer
INV723868,SO100149,CUST00269,2026-02-16,2026-02-16,21900.0,21900.0,0.0,Paid,2026-02-23,Finance Team B
INV886613,SO100150,CUST00331,2026-03-17,2026-03-17,20997.08,0,20997.08,Unpaid,,Finance Team A
INV723363,SO100151,CUST00026,2026-01-27,2026-02-26,121867.2,121867.2,0.0,Paid,2026-03-05,Finance Team A
INV745942,SO100154,CUST00388,2026-05-18,2026-05-25,2235204.0,2235204.0,0.0,Paid,2026-05-31,Finance Team B
INV782518,SO100155,CUST00574,2026-04-10,2026-04-10,53015.2,53015.2,0.0,Paid,2026-04-25,Regional Credit Officer
INV766975,SO100156,CUST00348,2026-06-06,2026-06-06,101318.2,101318.2,0.0,Paid,2026-06-25,Cash Sales
INV733108,SO100157,CUST00335,2026-06-01,2026-06-08,133273.8,133273.8,0.0,Paid,2026-06-18,Finance Team A
INV742920,SO100158,CUST00592,2026-03-03,2026-03-03,697692.0,697692.0,0.0,Paid,2026-03-05,Regional Credit Officer
INV777802,SO100160,CUST00176,2026-04-23,2026-04-23,11790.0,0,11790.0,Unpaid,,Finance Team B
INV847940,SO100161,CUST00215,2026-02-12,2026-02-19,10400.0,10400.0,0.0,Paid,2026-02-26,Regional Credit Officer
INV752798,SO100162,CUST00133,2026-05-21,2026-05-21,78382.36,0,78382.36,Unpaid,,Regional Credit Officer
INV743222,SO100163,CUST00314,2026-03-31,2026-03-31,51210.8,51210.8,0.0,Paid,2026-04-19,Finance Team A
INV721129,SO100164,CUST00317,2026-03-03,2026-04-02,61731.25,0,61731.25,Unpaid,,Finance Team A
INV806534,SO100165,CUST00112,2026-02-17,2026-02-17,7700.0,2419.43,5280.57,Partially Paid,2026-03-04,Finance Team B
INV815946,SO100166,CUST00253,2026-05-04,2026-05-11,114183.5,0,114183.5,Unpaid,,Regional Credit Officer
INV816893,SO100167,CUST00437,2026-04-10,2026-04-10,10137.6,8505.89,1631.71,Partially Paid,2026-04-22,Cash Sales
INV848109,SO100168,CUST_DUP021,2026-04-23,2026-04-30,38000.0,38000.0,0.0,Paid,2026-05-20,Finance Team B
INV707474,SO100169,CUST00198,2026-01-02,2026-01-09,51455.0,51455.0,0.0,Paid,2026-01-19,Finance Team A
INV821639,SO100170,CUST00144,2026-05-07,2026-05-14,23230.12,0,23230.12,Unpaid,,Finance Team A
INV771310,SO100171,CUST00429,2026-04-15,2026-05-30,28956.3,28956.3,0.0,Paid,2026-06-14,Finance Team A
INV885711,SO100172,CUST_DUP016,2026-04-18,2026-04-18,92145.8,92145.8,0.0,Paid,2026-05-07,Finance Team B
INV754159,SO100174,CUST00343,2026-05-23,2026-05-23,583120.43,0,583120.43,Unpaid,,Finance Team A
INV806786,SO100175,CUST00482,2026-05-06,2026-05-06,12060.0,12060.0,0.0,Paid,2026-05-20,Finance Team A
INV884144,SO100176,CUST00376,2026-02-21,2026-03-07,269334.0,269334.0,0.0,Paid,2026-03-05,Finance Team A
INV787683,SO100177,CUST00548,2026-05-13,2026-05-20,44560.0,44560.0,0.0,Paid,2026-05-27,Finance Team A
INV891534,SO100178,CUST00508,2026-04-09,2026-05-09,95380.0,95380.0,0.0,Paid,2026-04-14,Regional Credit Officer
INV843678,SO100179,CUST00466,2026-05-01,2026-05-15,1860.0,0,1860.0,Unpaid,,Finance Team B
INV770719,SO100180,CUST00214,2026-05-20,2026-05-20,20155.96,20155.96,0.0,Paid,2026-05-30,Regional Credit Officer
INV774028,SO100181,CUST00424,2026-03-23,2026-03-23,103236.5,0,103236.5,Unpaid,,Regional Credit Officer
INV755075,SO100182,CUST00043,2026-03-14,2026-03-14,215454.32,215454.32,0.0,Paid,2026-03-25,Regional Credit Officer
INV891409,SO100183,CUST00474,2026-02-14,2026-02-14,797758.4,797758.4,0.0,Paid,2026-03-04,Finance Team A
INV877547,SO100184,CUST00321,2026-03-14,2026-03-14,30835.2,30835.2,0.0,Paid,2026-03-25,Cash Sales
INV837938,SO100185,CUST00563,2026-05-26,2026-06-09,136931.5,136931.5,0.0,Paid,2026-06-25,Finance Team B
INV742174,SO100186,CUST00351,2026-04-13,2026-05-13,496336.4,496336.4,0.0,Paid,2026-04-19,Finance Team B
INV740516,SO100190,CUST00590,2026-02-20,2026-02-27,350326.2,290104.51,60221.69,Partially Paid,2026-03-17,Finance Team B
INV821299,SO100191,CUST00326,2026-06-05,2026-06-05,20520.0,16966.15,3553.85,Partially Paid,2026-06-06,Regional Credit Officer
INV783928,SO100192,CUST00176,2026-01-13,2026-01-13,31395.2,31395.2,0.0,Paid,2026-01-21,Finance Team A
INV886260,SO100195,CUST00486,2026-04-30,2026-06-14,55107.69,55107.69,0.0,Paid,2026-05-02,Finance Team B
INV721782,SO100196,CUST00165,2026-04-28,2026-05-05,132644.49,0,132644.49,Unpaid,,Finance Team A
INV842692,SO100197,CUST00480,2026-05-15,2026-05-15,0.0,0.0,0.0,Paid,,Regional Credit Officer
INV746526,SO100198,CUST00310,2026-05-16,2026-05-16,510901.82,406220.57,104681.25,Partially Paid,2026-05-30,Cash Sales
INV810803,SO100199,CUST00484,2026-01-18,2026-02-17,84804.6,84804.6,0.0,Paid,2026-03-04,Cash Sales
INV855950,SO100201,CUST00572,2026-05-30,2026-05-30,163960.8,0,163960.8,,,Finance Team A
INV720305,SO100202,CUST00381,2026-02-06,2026-02-06,227703.84,227703.84,0.0,Paid,2026-02-14,Cash Sales
INV769019,SO100203,CUST00219,2026-03-07,2026-03-07,7607.4,0,7607.4,Unpaid,,Finance Team A
INV758785,SO100205,CUST00587,2026-03-12,2026-04-11,179152.86,0,179152.86,Unpaid,,Regional Credit Officer
INV754824,SO100206,CUST00067,2026-01-26,2026-02-09,18130.0,0,18130.0,Unpaid,,Regional Credit Officer
INV876437,SO100207,CUST00442,2026-01-09,2026-01-23,50905.6,0,50905.6,,,Finance Team B
INV785440,SO100208,CUST00563,2026-03-28,2026-04-11,39705.6,8274.68,31430.92,Overdue,2026-04-02,Finance Team B
INV886050,SO100209,CUST00585,2026-04-14,2026-04-14,23537.65,23537.65,0.0,Paid,2026-04-14,Cash Sales
INV794466,SO100210,CUST00597,2026-01-25,2026-02-01,86403.09,30739.08,55664.01,Partially Paid,2026-02-04,Cash Sales
INV877167,SO100211,CUST00477,2026-04-07,2026-04-07,1960.0,1960.0,0.0,Paid,2026-04-13,Regional Credit Officer
INV719290,SO100212,CUST00495,2026-02-12,2026-03-14,73529.6,0,73529.6,Unpaid,,Cash Sales
INV768770,SO100214,CUST00566,2026-05-31,2026-05-31,65124.5,0,65124.5,Unpaid,,Regional Credit Officer
INV762547,SO100215,CUST00133,2026-04-20,2026-04-20,181618.0,0,181618.0,Unpaid,,Finance Team B
INV709714,SO100216,CUST00154,2026-03-03,2026-03-10,192312.6,163170.24,29142.36,Partially Paid,2026-03-03,Finance Team A
INV866220,SO100217,CUST00438,2026-01-31,2026-03-02,672024.27,672024.27,0.0,Paid,2026-03-13,Finance Team A
INV738674,SO100218,CUST00140,2026-01-13,2026-01-13,65643.6,65643.6,0.0,Paid,2026-01-13,Cash Sales
INV768589,SO100219,CUST00302,2026-04-15,2026-04-15,103029.83,103029.83,0.0,Paid,2026-04-22,Finance Team A
INV721894,SO100220,CUST00143,2026-02-13,2026-02-13,597043.86,0,597043.86,Unpaid,,Finance Team A
INV793411,SO100221,CUST00241,2026-05-12,2026-05-12,15681.6,0,15681.6,Unpaid,,Cash Sales
INV766991,SO100222,CUST00203,2026-04-18,2026-04-25,38676.0,17828.2,20847.8,Partially Paid,2026-04-29,Regional Credit Officer
INV837675,SO100224,CUST00587,2026-04-14,2026-05-14,38688.0,38688.0,0.0,Paid,2026-06-03,Cash Sales
INV850467,SO100227,CUST00078,2026-03-04,2026-03-11,131800.0,131800.0,0.0,Paid,2026-03-11,Cash Sales
INV787070,SO100228,CUST00546,2026-02-25,2026-03-04,102121.36,102121.36,0.0,Paid,2026-02-25,Regional Credit Officer
INV788546,SO100230,CUST00131,2026-04-05,2026-04-05,125063.3,86468.48,38594.82,Partially Paid,2026-04-11,Finance Team A
INV788583,SO100231,CUST00092,2026-03-10,2026-03-10,30240.0,30240.0,0.0,Paid,2026-03-26,Finance Team A
INV843579,SO100232,CUST00134,2026-04-13,2026-04-13,42091.0,42091.0,0.0,Paid,2026-04-18,Regional Credit Officer
INV861105,SO100233,CUST00040,2026-04-10,2026-04-10,32830.4,0,32830.4,,,Finance Team B
INV785060,SO100234,CUST00149,2026-05-15,2026-06-29,224974.58,0,224974.58,Unpaid,,Cash Sales
INV746236,SO100237,CUST00570,2026-03-08,2026-03-15,-57506.28,-57506.28,0.0,Paid,,Finance Team A
INV794340,SO100238,CUST00461,2026-04-17,2026-05-01,364672.0,364672.0,0.0,Paid,2026-05-15,Regional Credit Officer
INV775822,SO100239,CUST00486,2026-03-13,2026-04-27,223626.17,64037.53,159588.64,Partially Paid,2026-05-10,Regional Credit Officer
INV702197,SO100240,CUST00069,2026-04-20,2026-04-20,37713.6,0,37713.6,Unpaid,,Cash Sales
INV816640,SO100241,CUST00454,2026-04-06,2026-04-06,1154904.41,1154904.41,0.0,Paid,2026-04-24,Finance Team A
INV868536,SO100242,CUST00116,2026-05-10,2026-05-10,3293.16,3293.16,0.0,Paid,2026-05-27,Regional Credit Officer
INV705040,SO100243,CUST00045,2026-01-26,2026-01-26,59085.0,0,59085.0,Unpaid,,Cash Sales
INV730487,SO100244,CUST00073,2026-05-15,2026-05-15,107918.82,62252.91,45665.91,Partially Paid,2026-05-31,Finance Team B
INV810312,SO100245,CUST00374,2026-04-20,2026-05-04,7640.0,7640.0,0.0,Paid,2026-05-04,Cash Sales
INV737623,SO100246,CUST00114,2026-02-24,2026-02-24,41296.48,17092.68,24203.8,Partially Paid,2026-03-09,Cash Sales
INV820982,SO100248,CUST_DUP003,2026-05-12,2026-05-19,14850.0,0,14850.0,Unpaid,,Regional Credit Officer
INV824606,SO100249,CUST00366,2026-03-13,2026-04-12,203370.0,203370.0,0.0,Paid,2026-03-27,Cash Sales
INV700776,SO100250,CUST00039,2026-05-28,2026-05-28,30801.6,30801.6,0.0,Paid,2026-06-09,Finance Team A
INV837064,SO100251,CUST00227,2026-05-13,2026-05-13,55553.69,55553.69,0.0,Paid,2026-05-31,Regional Credit Officer
INV833459,SO100252,CUST00333,2026-03-03,2026-03-03,64456.5,0,64456.5,Unpaid,,Regional Credit Officer
INV779726,SO100254,CUST00542,2026-03-13,2026-03-13,39460.0,39460.0,0.0,Paid,2026-03-24,Finance Team B
INV825287,SO100255,CUST00371,2026-06-01,2026-06-01,21041.3,6623.08,14418.22,Partially Paid,2026-06-13,Cash Sales
INV770703,SO100256,CUST00242,2026-01-08,2026-01-08,618405.0,618405.0,0.0,Paid,2026-01-10,Cash Sales
INV736941,SO100257,CUST00291,2026-02-10,2026-02-17,76472.0,76472.0,0.0,Paid,2026-02-19,Cash Sales
INV881731,SO100258,CUST_DUP017,2026-01-25,2026-01-25,74065.1,74065.1,0.0,Paid,2026-02-05,Finance Team B
INV848323,SO100259,CUST00341,2026-03-02,2026-03-02,16100.0,16100.0,0.0,Paid,2026-03-07,Regional Credit Officer
INV843248,SO100260,CUST00011,2026-01-12,2026-02-11,32732.31,16125.89,16606.42,Partially Paid,2026-02-22,Cash Sales
INV777392,SO100261,CUST00522,2026-04-20,2026-04-20,6280.0,0,6280.0,Unpaid,,Cash Sales
INV754289,SO100262,CUST00197,2026-05-30,2026-06-13,28453.86,0,28453.86,Unpaid,,Cash Sales
INV754159,SO100263,CUST00079,2026-06-06,2026-06-06,63128.92,63128.92,0.0,Paid,2026-06-17,Finance Team B
INV766096,SO100264,CUST00314,2026-06-10,2026-06-10,52688.0,0,52688.0,Unpaid,,Finance Team B
INV758437,SO100266,CUST00434,2026-05-11,2026-05-11,116943.5,19613.99,97329.51,Overdue,2026-05-16,Regional Credit Officer
INV829393,SO100268,CUST00110,2026-03-25,2026-03-25,87098.7,0,87098.7,,,Regional Credit Officer
INV745501,SO100269,CUST00290,2026-01-05,2026-01-05,1104046.04,1104046.04,0.0,Paid,2026-01-10,Finance Team A
INV809244,SO100270,CUST00363,2026-05-09,2026-05-09,75089.74,75089.74,0.0,Paid,2026-05-23,Finance Team A
INV788762,SO100271,CUST00272,2026-04-28,2026-04-28,20169.6,20169.6,0.0,Paid,2026-05-17,Finance Team B
INV765111,SO100273,CUST00177,2026-05-08,2026-05-08,4800.0,4800.0,0.0,Paid,2026-05-08,Finance Team B
INV770494,SO100274,CUST00472,2026-01-15,2026-01-15,83298.4,0,83298.4,Unpaid,,Regional Credit Officer
INV714786,SO100275,CUST00035,2026-05-25,2026-05-25,74202.0,74202.0,0.0,Paid,2026-06-01,Cash Sales
INV814348,SO100276,CUST00442,2026-05-16,2026-05-30,39669.0,39669.0,0.0,Paid,2026-06-14,Regional Credit Officer
