target_month,sales_rep_id,region,state,territory,category,target_cases,target_value
2026-04-01,SR0001,Lagos Region,Lagos,Ikeja Route 1,Mixer,41,128200
2026-04-01,SR0001,Lagos Region,Lagos,Ikeja Route 1,Tea Drink,144,510800
2026-04-01,SR0001,Lagos Region,Lagos,Ikeja Route 1,Water,441,868000
2026-05-01,SR0001,Lagos Region,Lagos,Ikeja Route 1,Carbonated Soft Drink,773,2701100
2026-05-01,SR0001,Lagos Region,Lagos,Ikeja Route 1,Energy Drink,120,538800
2026-05-01,SR0001,Lagos Region,Lagos,Ikeja Route 1,Malt Drink,206,765300
2026-05-01,SR0001,Lagos Region,Lagos,Ikeja Route 1,Mixer,42,131400
2026-05-01,SR0001,Lagos Region,Lagos,Ikeja Route 1,Tea Drink,81,287300
2026-05-01,SR0001,Lagos Region,Lagos,Ikeja Route 1,Water,389,765700
2026-01-01,SR0002,Lagos Region,Lagos,Ikeja Route 2,Carbonated Soft Drink,518,1810000
2026-01-01,SR0002,Lagos Region,Lagos,Ikeja Route 2,Energy Drink,108,484900
2026-01-01,SR0002,Lagos Region,Lagos,Ikeja Route 2,Malt Drink,198,735600
2026-01-01,SR0002,Lagos Region,Lagos,Ikeja Route 2,Mixer,40,125100
2026-01-01,SR0002,Lagos Region,Lagos,Ikeja Route 2,Tea Drink,65,230600
2026-01-01,SR0002,Lagos Region,Lagos,Ikeja Route 2,Water,211,415300
2026-02-01,SR0002,Lagos Region,Lagos,Ikeja Route 2,Carbonated Soft Drink,769,2687100
2026-02-01,SR0002,Lagos Region,Lagos,Ikeja Route 2,Energy Drink,155,696000
2026-02-01,SR0002,Lagos Region,Lagos,Ikeja Route 2,Malt Drink,163,605500
2026-02-01,SR0002,Lagos Region,Lagos,Ikeja Route 2,Mixer,52,162600
2026-02-01,SR0002,Lagos Region,Lagos,Ikeja Route 2,Tea Drink,67,237700
2026-02-01,SR0002,Lagos Region,Lagos,Ikeja Route 2,Water,362,712500
2026-03-01,SR0002,Lagos Region,Lagos,Ikeja Route 2,Carbonated Soft Drink,558,1949800
2026-03-01,SR0002,Lagos Region,Lagos,Ikeja Route 2,Energy Drink,142,637600
2026-03-01,SR0002,Lagos Region,Lagos,Ikeja Route 2,Malt Drink,134,497800
2026-03-01,SR0002,Lagos Region,Lagos,Ikeja Route 2,Mixer,26,81300
2026-03-01,SR0002,Lagos Region,Lagos,Ikeja Route 2,Tea Drink,123,436300
2026-03-01,SR0002,Lagos Region,Lagos,Ikeja Route 2,Water,291,572800
2026-04-01,SR0002,Lagos Region,Lagos,Ikeja Route 2,Carbonated Soft Drink,588,2054600
2026-04-01,SR0002,Lagos Region,Lagos,Ikeja Route 2,Energy Drink,94,422100
2026-04-01,SR0002,Lagos Region,Lagos,Ikeja Route 2,Malt Drink,137,509000
2026-04-01,SR0002,Lagos Region,Lagos,Ikeja Route 2,Mixer,28,87600
2026-04-01,SR0002,Lagos Region,Lagos,Ikeja Route 2,Tea Drink,94,333500
2026-04-01,SR0002,Lagos Region,Lagos,Ikeja Route 2,Water,282,555100
2026-05-01,SR0002,Lagos Region,Lagos,Ikeja Route 2,Carbonated Soft Drink,681,2379600
2026-05-01,SR0002,Lagos Region,Lagos,Ikeja Route 2,Energy Drink,106,475900
2026-05-01,SR0002,Lagos Region,Lagos,Ikeja Route 2,Malt Drink,180,668700
2026-05-01,SR0002,Lagos Region,Lagos,Ikeja Route 2,Mixer,53,165800
2026-05-01,SR0002,Lagos Region,Lagos,Ikeja Route 2,Tea Drink,109,386700
2026-05-01,SR0002,Lagos Region,Lagos,Ikeja Route 2,Water,278,547200
2026-01-01,SR0003,Lagos Region,Lagos,Surulere Route 1,Carbonated Soft Drink,577,2016200
2026-01-01,SR0003,Lagos Region,Lagos,Surulere Route 1,Energy Drink,113,507400
2026-01-01,SR0003,Lagos Region,Lagos,Surulere Route 1,Malt Drink,124,460700
2026-01-01,SR0003,Lagos Region,Lagos,Surulere Route 1,Mixer,38,118800
2026-01-01,SR0003,Lagos Region,Lagos,Surulere Route 1,Tea Drink,62,219900
2026-01-01,SR0003,Lagos Region,Lagos,Surulere Route 1,Water,229,450700
2026-02-01,SR0003,Lagos Region,Lagos,Surulere Route 1,Carbonated Soft Drink,444,1551400
2026-02-01,SR0003,Lagos Region,Lagos,Surulere Route 1,Energy Drink,84,377200
2026-02-01,SR0003,Lagos Region,Lagos,Surulere Route 1,Malt Drink,90,334400
2026-02-01,SR0003,Lagos Region,Lagos,Surulere Route 1,Mixer,22,68800
2026-02-01,SR0003,Lagos Region,Lagos,Surulere Route 1,Tea Drink,97,344100
2026-02-01,SR0003,Lagos Region,Lagos,Surulere Route 1,Water,290,570800
2026-03-01,SR0003,Lagos Region,Lagos,Surulere Route 1,Carbonated Soft Drink,320,1118200
2026-03-01,SR0003,Lagos Region,Lagos,Surulere Route 1,Energy Drink,128,574700
2026-03-01,SR0003,Lagos Region,Lagos,Surulere Route 1,Malt Drink,127,471800
2026-03-01,SR0003,Lagos Region,Lagos,Surulere Route 1,Mixer,26,81300
2026-03-01,SR0003,Lagos Region,Lagos,Surulere Route 1,Tea Drink,94,333500
2026-03-01,SR0003,Lagos Region,Lagos,Surulere Route 1,Water,153,301200
2026-04-01,SR0003,Lagos Region,Lagos,Surulere Route 1,Carbonated Soft Drink,557,1946300
2026-04-01,SR0003,Lagos Region,Lagos,Surulere Route 1,Energy Drink,84,377200
2026-04-01,SR0003,Lagos Region,Lagos,Surulere Route 1,Malt Drink,139,516400
2026-04-01,SR0003,Lagos Region,Lagos,Surulere Route 1,Mixer,38,118800
2026-04-01,SR0003,Lagos Region,Lagos,Surulere Route 1,Tea Drink,84,298000
2026-04-01,SR0003,Lagos Region,Lagos,Surulere Route 1,Water,160,314900
2026-05-01,SR0003,Lagos Region,Lagos,Surulere Route 1,Carbonated Soft Drink,443,1548000
2026-05-01,SR0003,Lagos Region,Lagos,Surulere Route 1,Energy Drink,70,314300
2026-05-01,SR0003,Lagos Region,Lagos,Surulere Route 1,Malt Drink,106,393800
2026-05-01,SR0003,Lagos Region,Lagos,Surulere Route 1,Mixer,21,65700
2026-05-01,SR0003,Lagos Region,Lagos,Surulere Route 1,Tea Drink,66,234100
2026-05-01,SR0003,Lagos Region,Lagos,Surulere Route 1,Water,280,551100
2026-01-01,SR0004,Lagos Region,Lagos,Surulere Route 2,Carbonated Soft Drink,876,3061000
2026-01-01,SR0004,Lagos Region,Lagos,Surulere Route 2,Energy Drink,186,835100
2026-01-01,SR0004,Lagos Region,Lagos,Surulere Route 2,Malt Drink,239,887900
2026-01-01,SR0004,Lagos Region,Lagos,Surulere Route 2,Mixer,57,178300
2026-01-01,SR0004,Lagos Region,Lagos,Surulere Route 2,Tea Drink,107,379600
2026-01-01,SR0004,Lagos Region,Lagos,Surulere Route 2,Water,415,816900
2026-02-01,SR0004,Lagos Region,Lagos,Surulere Route 2,Carbonated Soft Drink,935,3267100
2026-02-01,SR0004,Lagos Region,Lagos,Surulere Route 2,Energy Drink,192,862100
2026-02-01,SR0004,Lagos Region,Lagos,Surulere Route 2,Malt Drink,231,858200
2026-02-01,SR0004,Lagos Region,Lagos,Surulere Route 2,Mixer,33,103200
2026-02-01,SR0004,Lagos Region,Lagos,Surulere Route 2,Tea Drink,122,432800
2026-02-01,SR0004,Lagos Region,Lagos,Surulere Route 2,Water,452,889700
2026-03-01,SR0004,Lagos Region,Lagos,Surulere Route 2,Carbonated Soft Drink,524,1831000
2026-03-01,SR0004,Lagos Region,Lagos,Surulere Route 2,Energy Drink,149,669000
2026-03-01,SR0004,Lagos Region,Lagos,Surulere Route 2,Malt Drink,118,438400
2026-03-01,SR0004,Lagos Region,Lagos,Surulere Route 2,Mixer,54,168900
2026-03-01,SR0004,Lagos Region,Lagos,Surulere Route 2,Tea Drink,123,436300
2026-03-01,SR0004,Lagos Region,Lagos,Surulere Route 2,Water,431,848400
2026-04-01,SR0004,Lagos Region,Lagos,Surulere Route 2,Carbonated Soft Drink,954,3333500
2026-04-01,SR0004,Lagos Region,Lagos,Surulere Route 2,Energy Drink,175,785800
2026-04-01,SR0004,Lagos Region,Lagos,Surulere Route 2,Malt Drink,166,616700
2026-04-01,SR0004,Lagos Region,Lagos,Surulere Route 2,Mixer,31,97000
2026-04-01,SR0004,Lagos Region,Lagos,Surulere Route 2,Tea Drink,141,500200
2026-04-01,SR0004,Lagos Region,Lagos,Surulere Route 2,Water,447,879800
2026-05-01,SR0004,Lagos Region,Lagos,Surulere Route 2,Carbonated Soft Drink,596,2082600
2026-05-01,SR0004,Lagos Region,Lagos,Surulere Route 2,Energy Drink,168,754300
2026-05-01,SR0004,Lagos Region,Lagos,Surulere Route 2,Malt Drink,139,516400
2026-05-01,SR0004,Lagos Region,Lagos,Surulere Route 2,Mixer,59,184500
2026-05-01,SR0004,Lagos Region,Lagos,Surulere Route 2,Tea Drink,119,422200
2026-05-01,SR0004,Lagos Region,Lagos,Surulere Route 2,Water,320,629900
2026-01-01,SR0005,Lagos Region,Lagos,Ajah Route 1,Carbonated Soft Drink,573,2002200
2026-01-01,SR0005,Lagos Region,Lagos,Ajah Route 1,Energy Drink,130,583700
2026-01-01,SR0005,Lagos Region,Lagos,Ajah Route 1,Malt Drink,173,642700
2026-01-01,SR0005,Lagos Region,Lagos,Ajah Route 1,Mixer,36,112600
2026-01-01,SR0005,Lagos Region,Lagos,Ajah Route 1,Tea Drink,137,486000
2026-01-01,SR0005,Lagos Region,Lagos,Ajah Route 1,Water,235,462600
2026-02-01,SR0005,Lagos Region,Lagos,Ajah Route 1,Carbonated Soft Drink,536,1872900
2026-02-01,SR0005,Lagos Region,Lagos,Ajah Route 1,Energy Drink,173,776800
2026-02-01,SR0005,Lagos Region,Lagos,Ajah Route 1,Malt Drink,195,724400
2026-02-01,SR0005,Lagos Region,Lagos,Ajah Route 1,Mixer,31,97000
2026-02-01,SR0005,Lagos Region,Lagos,Ajah Route 1,Tea Drink,150,532100
2026-02-01,SR0005,Lagos Region,Lagos,Ajah Route 1,Water,338,665300
2026-03-01,SR0005,Lagos Region,Lagos,Ajah Route 1,Carbonated Soft Drink,482,1684200
2026-03-01,SR0005,Lagos Region,Lagos,Ajah Route 1,Energy Drink,138,619600
2026-03-01,SR0005,Lagos Region,Lagos,Ajah Route 1,Malt Drink,198,735600
2026-03-01,SR0005,Lagos Region,Lagos,Ajah Route 1,Mixer,51,159500
2026-03-01,SR0005,Lagos Region,Lagos,Ajah Route 1,Tea Drink,115,408000
2026-03-01,SR0005,Lagos Region,Lagos,Ajah Route 1,Water,257,505900
2026-04-01,SR0005,Lagos Region,Lagos,Ajah Route 1,Carbonated Soft Drink,486,1698200
2026-04-01,SR0005,Lagos Region,Lagos,Ajah Route 1,Energy Drink,155,696000
2026-04-01,SR0005,Lagos Region,Lagos,Ajah Route 1,Malt Drink,175,650100
2026-04-01,SR0005,Lagos Region,Lagos,Ajah Route 1,Mixer,64,200200
2026-04-01,SR0005,Lagos Region,Lagos,Ajah Route 1,Tea Drink,153,542800
2026-04-01,SR0005,Lagos Region,Lagos,Ajah Route 1,Water,226,444800
2026-05-01,SR0005,Lagos Region,Lagos,Ajah Route 1,Carbonated Soft Drink,851,2973600
2026-05-01,SR0005,Lagos Region,Lagos,Ajah Route 1,Energy Drink,122,547800
2026-05-01,SR0005,Lagos Region,Lagos,Ajah Route 1,Malt Drink,150,557200
2026-05-01,SR0005,Lagos Region,Lagos,Ajah Route 1,Mixer,56,175100
2026-05-01,SR0005,Lagos Region,Lagos,Ajah Route 1,Tea Drink,90,319300
2026-05-01,SR0005,Lagos Region,Lagos,Ajah Route 1,Water,281,553100
2026-01-01,SR0006,Lagos Region,Lagos,Ajah Route 2,Carbonated Soft Drink,460,1607400
2026-01-01,SR0006,Lagos Region,Lagos,Ajah Route 2,Energy Drink,127,570200
2026-01-01,SR0006,Lagos Region,Lagos,Ajah Route 2,Malt Drink,89,330600
2026-01-01,SR0006,Lagos Region,Lagos,Ajah Route 2,Mixer,39,122000
2026-01-01,SR0006,Lagos Region,Lagos,Ajah Route 2,Tea Drink,80,283800
2026-01-01,SR0006,Lagos Region,Lagos,Ajah Route 2,Water,245,482200
2026-02-01,SR0006,Lagos Region,Lagos,Ajah Route 2,Carbonated Soft Drink,638,2229300
2026-02-01,SR0006,Lagos Region,Lagos,Ajah Route 2,Energy Drink,113,507400
2026-02-01,SR0006,Lagos Region,Lagos,Ajah Route 2,Malt Drink,122,453200
2026-02-01,SR0006,Lagos Region,Lagos,Ajah Route 2,Mixer,37,115700
2026-02-01,SR0006,Lagos Region,Lagos,Ajah Route 2,Tea Drink,59,209300
2026-02-01,SR0006,Lagos Region,Lagos,Ajah Route 2,Water,299,588500
2026-03-01,SR0006,Lagos Region,Lagos,Ajah Route 2,Carbonated Soft Drink,376,1313800
2026-03-01,SR0006,Lagos Region,Lagos,Ajah Route 2,Energy Drink,122,547800
2026-03-01,SR0006,Lagos Region,Lagos,Ajah Route 2,Malt Drink,123,456900
2026-03-01,SR0006,Lagos Region,Lagos,Ajah Route 2,Mixer,34,106300
2026-03-01,SR0006,Lagos Region,Lagos,Ajah Route 2,Tea Drink,75,266100
2026-03-01,SR0006,Lagos Region,Lagos,Ajah Route 2,Water,227,446800
2026-04-01,SR0006,Lagos Region,Lagos,Ajah Route 2,Carbonated Soft Drink,507,1771600
2026-04-01,SR0006,Lagos Region,Lagos,Ajah Route 2,Energy Drink,90,404100
2026-04-01,SR0006,Lagos Region,Lagos,Ajah Route 2,Malt Drink,120,445800
2026-04-01,SR0006,Lagos Region,Lagos,Ajah Route 2,Mixer,28,87600
2026-04-01,SR0006,Lagos Region,Lagos,Ajah Route 2,Tea Drink,65,230600
2026-04-01,SR0006,Lagos Region,Lagos,Ajah Route 2,Water,159,313000
2026-05-01,SR0006,Lagos Region,Lagos,Ajah Route 2,Carbonated Soft Drink,362,1264900
2026-05-01,SR0006,Lagos Region,Lagos,Ajah Route 2,Energy Drink,76,341200
2026-05-01,SR0006,Lagos Region,Lagos,Ajah Route 2,Malt Drink,160,594400
2026-05-01,SR0006,Lagos Region,Lagos,Ajah Route 2,Mixer,32,100100
2026-05-01,SR0006,Lagos Region,Lagos,Ajah Route 2,Tea Drink,55,195100
2026-05-01,SR0006,Lagos Region,Lagos,Ajah Route 2,Water,156,307100
2026-01-01,SR0007,Lagos Region,Lagos,Lekki Route 1,Carbonated Soft Drink,467,1631800
2026-01-01,SR0007,Lagos Region,Lagos,Lekki Route 1,Energy Drink,84,377200
2026-01-01,SR0007,Lagos Region,Lagos,Lekki Route 1,Malt Drink,99,367800
2026-01-01,SR0007,Lagos Region,Lagos,Lekki Route 1,Mixer,27,84400
2026-01-01,SR0007,Lagos Region,Lagos,Lekki Route 1,Tea Drink,61,216400
2026-01-01,SR0007,Lagos Region,Lagos,Lekki Route 1,Water,281,553100
2026-02-01,SR0007,Lagos Region,Lagos,Lekki Route 1,Carbonated Soft Drink,359,1254400
2026-02-01,SR0007,Lagos Region,Lagos,Lekki Route 1,Energy Drink,67,300800
2026-02-01,SR0007,Lagos Region,Lagos,Lekki Route 1,Malt Drink,136,505200
2026-02-01,SR0007,Lagos Region,Lagos,Lekki Route 1,Mixer,26,81300
2026-02-01,SR0007,Lagos Region,Lagos,Lekki Route 1,Tea Drink,106,376000
2026-02-01,SR0007,Lagos Region,Lagos,Lekki Route 1,Water,178,350400
2026-03-01,SR0007,Lagos Region,Lagos,Lekki Route 1,Carbonated Soft Drink,468,1635300
2026-03-01,SR0007,Lagos Region,Lagos,Lekki Route 1,Energy Drink,108,484900
2026-03-01,SR0007,Lagos Region,Lagos,Lekki Route 1,Malt Drink,128,475500
2026-03-01,SR0007,Lagos Region,Lagos,Lekki Route 1,Mixer,35,109500
2026-03-01,SR0007,Lagos Region,Lagos,Lekki Route 1,Tea Drink,75,266100
2026-03-01,SR0007,Lagos Region,Lagos,Lekki Route 1,Water,224,440900
2026-04-01,SR0007,Lagos Region,Lagos,Lekki Route 1,Carbonated Soft Drink,557,1946300
2026-04-01,SR0007,Lagos Region,Lagos,Lekki Route 1,Energy Drink,82,368200
2026-04-01,SR0007,Lagos Region,Lagos,Lekki Route 1,Malt Drink,85,315800
2026-04-01,SR0007,Lagos Region,Lagos,Lekki Route 1,Mixer,36,112600
2026-04-01,SR0007,Lagos Region,Lagos,Lekki Route 1,Tea Drink,65,230600
2026-04-01,SR0007,Lagos Region,Lagos,Lekki Route 1,Water,149,293300
2026-05-01,SR0007,Lagos Region,Lagos,Lekki Route 1,Carbonated Soft Drink,418,1460600
2026-05-01,SR0007,Lagos Region,Lagos,Lekki Route 1,Energy Drink,70,314300
2026-05-01,SR0007,Lagos Region,Lagos,Lekki Route 1,Malt Drink,117,434700
2026-05-01,SR0007,Lagos Region,Lagos,Lekki Route 1,Mixer,34,106300
2026-05-01,SR0007,Lagos Region,Lagos,Lekki Route 1,Tea Drink,59,209300
2026-05-01,SR0007,Lagos Region,Lagos,Lekki Route 1,Water,278,547200
2026-01-01,SR0008,Lagos Region,Lagos,Lekki Route 2,Carbonated Soft Drink,842,2942200
2026-01-01,SR0008,Lagos Region,Lagos,Lekki Route 2,Energy Drink,119,534300
2026-01-01,SR0008,Lagos Region,Lagos,Lekki Route 2,Malt Drink,159,590700
2026-01-01,SR0008,Lagos Region,Lagos,Lekki Route 2,Mixer,60,187600
2026-01-01,SR0008,Lagos Region,Lagos,Lekki Route 2,Tea Drink,98,347700
2026-01-01,SR0008,Lagos Region,Lagos,Lekki Route 2,Water,248,488100
2026-02-01,SR0008,Lagos Region,Lagos,Lekki Route 2,Carbonated Soft Drink,561,1960300
2026-02-01,SR0008,Lagos Region,Lagos,Lekki Route 2,Energy Drink,181,812700
2026-02-01,SR0008,Lagos Region,Lagos,Lekki Route 2,Malt Drink,222,824700
2026-02-01,SR0008,Lagos Region,Lagos,Lekki Route 2,Mixer,40,125100
2026-02-01,SR0008,Lagos Region,Lagos,Lekki Route 2,Tea Drink,159,564100
2026-02-01,SR0008,Lagos Region,Lagos,Lekki Route 2,Water,319,627900
2026-03-01,SR0008,Lagos Region,Lagos,Lekki Route 2,Carbonated Soft Drink,607,2121000
2026-03-01,SR0008,Lagos Region,Lagos,Lekki Route 2,Energy Drink,97,435500
2026-03-01,SR0008,Lagos Region,Lagos,Lekki Route 2,Malt Drink,126,468100
2026-03-01,SR0008,Lagos Region,Lagos,Lekki Route 2,Mixer,55,172000
2026-03-01,SR0008,Lagos Region,Lagos,Lekki Route 2,Tea Drink,80,283800
2026-03-01,SR0008,Lagos Region,Lagos,Lekki Route 2,Water,383,753900
2026-04-01,SR0008,Lagos Region,Lagos,Lekki Route 2,Carbonated Soft Drink,511,1785600
2026-04-01,SR0008,Lagos Region,Lagos,Lekki Route 2,Energy Drink,122,547800
2026-04-01,SR0008,Lagos Region,Lagos,Lekki Route 2,Malt Drink,153,568400
2026-04-01,SR0008,Lagos Region,Lagos,Lekki Route 2,Mixer,62,193900
2026-04-01,SR0008,Lagos Region,Lagos,Lekki Route 2,Tea Drink,121,429200
2026-04-01,SR0008,Lagos Region,Lagos,Lekki Route 2,Water,290,570800
2026-05-01,SR0008,Lagos Region,Lagos,Lekki Route 2,Carbonated Soft Drink,638,2229300
2026-05-01,SR0008,Lagos Region,Lagos,Lekki Route 2,Energy Drink,166,745300
2026-05-01,SR0008,Lagos Region,Lagos,Lekki Route 2,Malt Drink,233,865600
2026-05-01,SR0008,Lagos Region,Lagos,Lekki Route 2,Mixer,64,200200
2026-05-01,SR0008,Lagos Region,Lagos,Lekki Route 2,Tea Drink,107,379600
2026-05-01,SR0008,Lagos Region,Lagos,Lekki Route 2,Water,378,744000
2026-01-01,SR0009,Lagos Region,Lagos,Apapa Route 1,Carbonated Soft Drink,767,2680100
2026-01-01,SR0009,Lagos Region,Lagos,Apapa Route 1,Energy Drink,146,655500
2026-01-01,SR0009,Lagos Region,Lagos,Apapa Route 1,Malt Drink,210,780200
2026-01-01,SR0009,Lagos Region,Lagos,Apapa Route 1,Mixer,62,193900
2026-01-01,SR0009,Lagos Region,Lagos,Apapa Route 1,Tea Drink,128,454100
2026-01-01,SR0009,Lagos Region,Lagos,Apapa Route 1,Water,346,681000
2026-02-01,SR0009,Lagos Region,Lagos,Apapa Route 1,Carbonated Soft Drink,916,3200700
2026-02-01,SR0009,Lagos Region,Lagos,Apapa Route 1,Energy Drink,175,785800
2026-02-01,SR0009,Lagos Region,Lagos,Apapa Route 1,Malt Drink,146,542400
2026-02-01,SR0009,Lagos Region,Lagos,Apapa Route 1,Mixer,61,190800
2026-02-01,SR0009,Lagos Region,Lagos,Apapa Route 1,Tea Drink,114,404400
2026-02-01,SR0009,Lagos Region,Lagos,Apapa Route 1,Water,358,704700
2026-03-01,SR0009,Lagos Region,Lagos,Apapa Route 1,Carbonated Soft Drink,554,1935800
2026-03-01,SR0009,Lagos Region,Lagos,Apapa Route 1,Energy Drink,103,462500
2026-03-01,SR0009,Lagos Region,Lagos,Apapa Route 1,Malt Drink,117,434700
2026-03-01,SR0009,Lagos Region,Lagos,Apapa Route 1,Mixer,45,140700
2026-03-01,SR0009,Lagos Region,Lagos,Apapa Route 1,Tea Drink,142,503700
2026-03-01,SR0009,Lagos Region,Lagos,Apapa Route 1,Water,299,588500
2026-04-01,SR0009,Lagos Region,Lagos,Apapa Route 1,Carbonated Soft Drink,603,2107000
2026-04-01,SR0009,Lagos Region,Lagos,Apapa Route 1,Energy Drink,101,453500
2026-04-01,SR0009,Lagos Region,Lagos,Apapa Route 1,Malt Drink,148,549800
2026-04-01,SR0009,Lagos Region,Lagos,Apapa Route 1,Mixer,42,131400
2026-04-01,SR0009,Lagos Region,Lagos,Apapa Route 1,Tea Drink,102,361800
2026-04-01,SR0009,Lagos Region,Lagos,Apapa Route 1,Water,222,437000
2026-05-01,SR0009,Lagos Region,Lagos,Apapa Route 1,Carbonated Soft Drink,617,2156000
2026-05-01,SR0009,Lagos Region,Lagos,Apapa Route 1,Energy Drink,143,642100
2026-05-01,SR0009,Lagos Region,Lagos,Apapa Route 1,Malt Drink,199,739300
2026-05-01,SR0009,Lagos Region,Lagos,Apapa Route 1,Mixer,33,103200
2026-05-01,SR0009,Lagos Region,Lagos,Apapa Route 1,Tea Drink,117,415100
2026-05-01,SR0009,Lagos Region,Lagos,Apapa Route 1,Water,271,533400
2026-01-01,SR0010,Lagos Region,Lagos,Apapa Route 2,Carbonated Soft Drink,356,1244000
2026-01-01,SR0010,Lagos Region,Lagos,Apapa Route 2,Energy Drink,82,368200
2026-01-01,SR0010,Lagos Region,Lagos,Apapa Route 2,Malt Drink,130,483000
2026-01-01,SR0010,Lagos Region,Lagos,Apapa Route 2,Mixer,36,112600
2026-01-01,SR0010,Lagos Region,Lagos,Apapa Route 2,Tea Drink,102,361800
2026-01-01,SR0010,Lagos Region,Lagos,Apapa Route 2,Water,273,537400
2026-02-01,SR0010,Lagos Region,Lagos,Apapa Route 2,Carbonated Soft Drink,485,1694700
2026-02-01,SR0010,Lagos Region,Lagos,Apapa Route 2,Energy Drink,103,462500
2026-02-01,SR0010,Lagos Region,Lagos,Apapa Route 2,Malt Drink,132,490400
2026-02-01,SR0010,Lagos Region,Lagos,Apapa Route 2,Mixer,27,84400
2026-02-01,SR0010,Lagos Region,Lagos,Apapa Route 2,Tea Drink,70,248300
2026-02-01,SR0010,Lagos Region,Lagos,Apapa Route 2,Water,196,385800
2026-03-01,SR0010,Lagos Region,Lagos,Apapa Route 2,Carbonated Soft Drink,471,1645800
2026-03-01,SR0010,Lagos Region,Lagos,Apapa Route 2,Energy Drink,96,431000
2026-03-01,SR0010,Lagos Region,Lagos,Apapa Route 2,Malt Drink,126,468100
2026-03-01,SR0010,Lagos Region,Lagos,Apapa Route 2,Mixer,42,131400
2026-03-01,SR0010,Lagos Region,Lagos,Apapa Route 2,Tea Drink,69,244800
2026-03-01,SR0010,Lagos Region,Lagos,Apapa Route 2,Water,175,344500
2026-04-01,SR0010,Lagos Region,Lagos,Apapa Route 2,Carbonated Soft Drink,389,1359300
2026-04-01,SR0010,Lagos Region,Lagos,Apapa Route 2,Energy Drink,119,534300
2026-04-01,SR0010,Lagos Region,Lagos,Apapa Route 2,Malt Drink,127,471800
2026-04-01,SR0010,Lagos Region,Lagos,Apapa Route 2,Mixer,24,75100
2026-04-01,SR0010,Lagos Region,Lagos,Apapa Route 2,Tea Drink,71,251900
2026-04-01,SR0010,Lagos Region,Lagos,Apapa Route 2,Water,270,531400
2026-05-01,SR0010,Lagos Region,Lagos,Apapa Route 2,Carbonated Soft Drink,559,1953300
2026-05-01,SR0010,Lagos Region,Lagos,Apapa Route 2,Energy Drink,110,493900
2026-05-01,SR0010,Lagos Region,Lagos,Apapa Route 2,Malt Drink,151,561000
2026-05-01,SR0010,Lagos Region,Lagos,Apapa Route 2,Mixer,40,125100
2026-05-01,SR0010,Lagos Region,Lagos,Apapa Route 2,Tea Drink,85,301500
2026-05-01,SR0010,Lagos Region,Lagos,Apapa Route 2,Water,245,482200
2026-01-01,SR0011,Lagos Region,Lagos,Yaba Route 1,Carbonated Soft Drink,938,3277600
2026-01-01,SR0011,Lagos Region,Lagos,Yaba Route 1,Energy Drink,153,687000
2026-01-01,SR0011,Lagos Region,Lagos,Yaba Route 1,Malt Drink,222,824700
2026-01-01,SR0011,Lagos Region,Lagos,Yaba Route 1,Mixer,59,184500
2026-01-01,SR0011,Lagos Region,Lagos,Yaba Route 1,Tea Drink,85,301500
2026-01-01,SR0011,Lagos Region,Lagos,Yaba Route 1,Water,354,696800
2026-02-01,SR0011,Lagos Region,Lagos,Yaba Route 1,Carbonated Soft Drink,856,2991100
2026-02-01,SR0011,Lagos Region,Lagos,Yaba Route 1,Energy Drink,120,538800
